trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.509999999999999786837179271970,2513,2780,0.385682050049304947503259199948,9,0.05
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,5.000000000000000000000000000000,11.460000000000000852651282912120,1953,1425,0.659564730387180997439600105281,30,0.01
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,2.000000000000000000000000000000,3.569999999999999840127884453977,296,4125,0.754584500867873431140253615013,50,0.1
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,20.000000000000000000000000000000,38.729999999999996873611962655559,4619,422,0.044108922217041254820735218800,13,0.025
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.670000000000000039968028886506,3755,4575,0.591948207488283473232115738938,41,0.25
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,7.000000000000000000000000000000,19.969999999999998863131622783840,693,871,0.366825301771983525167541984047,23,0.001
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,26.000000000000000000000000000000,0.829999999999999960031971113494,1558,3581,0.205501867754384864861449955242,5,0.005
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,4.000000000000000000000000000000,4.709999999999999964472863211995,3378,2226,0.992028073666617271619827533868,33,0.05
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.310000000000000053290705182008,3610,3841,0.101088762380182745070911209950,35,0.025
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,137.000000000000000000000000000000,2.410000000000000142108547152020,1790,41,0.827220595352351706353033478081,3,0.001
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,3.000000000000000000000000000000,8.570000000000000284217094304040,1081,3004,0.727272798582911494946756647551,20,0.005
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,5.000000000000000000000000000000,8.419999999999999928945726423990,4143,1864,0.437858985960483559907174822001,43,0.01
