trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,threshold,window_size
0,,,,,,,,,,,,,,,0_0,RUNNING,SOBOL,,,1212,2,0.123137414544820786299617054738,133
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,38.000000000000000000000000000000,0.000000000000000000000000000000,3738,3,0.614902806105092181176985377533,3671
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,32.000000000000000000000000000000,0.000000000000000000000000000000,3838,0,0.382353206042200299830113863209,1559
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,1364,4,0.889834169127047047709311300423,4745
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,28.000000000000000000000000000000,0.000000000000000000000000000000,1967,0,0.749100937308743608511463207833,3769
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,4492,4,0.241864098733291038589854338170,2458
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.000000000000000000000000000000,3089,1,0.754918048717081568987907758128,2695
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,46.000000000000000000000000000000,0.000000000000000000000000000000,615,2,0.263396790031343697169319284512,1032
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,28.000000000000000000000000000000,0.000000000000000000000000000000,210,0,0.870275573574006533483782277472,1890
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,41.000000000000000000000000000000,0.000000000000000000000000000000,2733,3,0.362917879182845348751129677112,4329
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,42.000000000000000000000000000000,0.000000000000000000000000000000,4692,2,0.626653536723926651852423219680,816
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,41.000000000000000000000000000000,0.000000000000000000000000000000,2215,3,0.134767762443050748144557360320,2903
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,26.000000000000000000000000000000,0.000000000000000000000000000000,1565,1,0.493341064650565375160340408911,3253
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,42.000000000000000000000000000000,0.000000000000000000000000000000,4088,2,0.984983658753335489244307154877,540
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,13094.000000000000000000000000000000,0.699999999999999955591079014994,3332,1,0.004117699524387717115170293170,4679
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,856,4,0.511232221173122503010688433278,1615
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,26.000000000000000000000000000000,0.000000000000000000000000000000,742,1,0.334563141612336023555940300866,2605
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,3217,4,0.842044108415022529712246068812,1099
