trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,10.000000000000000000000000000000,31.750000000000000000000000000000,1851,389,0.098223538562655449135618823675,0.983169319510459938094015797105
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,1.000000000000000000000000000000,4.950000000000000177635683940025,2558,3773,0.531277202177792839954406645120,0.403505370868369961367960740972
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,1.000000000000000000000000000000,12.380000000000000781597009336110,3808,1979,0.414985617494210590194825272192,0.673848581355065090470191080385
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.169999999999999928945726423990,599,3588,0.978607434442266832519408126245,0.189452292015776041500529913719
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,2.000000000000000000000000000000,9.279999999999999360511537815910,956,1534,0.668581229694187650913761444826,0.005689044481143355064256539322
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,1.000000000000000000000000000000,4.570000000000000284217094304040,4624,3056,0.234111364714801317710168859776,0.616906393613666281794394308235
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,3.000000000000000000000000000000,19.510000000000001563194018672220,3372,1095,0.850851503403857400975596192438,0.337662243572995068863207279719
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2207,4590,0.285752573864534509251456029233,0.790748805213719596629573516111
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,0.000000000000000000000000000000,6.929999999999999715782905695960,2036,2230,0.777647647392004759403505431692,0.540198610298335601953567675082
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,1.000000000000000000000000000000,10.359999999999999431565811391920,3524,3142,0.343299861397594219258877501488,0.088725847626104956122894407144
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,74.000000000000000000000000000000,4.650000000000000355271367880050,4775,91,0.710414593635126934145773702767,0.863161959439516013325999210792
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.870000000000000106581410364015,785,4187,0.145437743080779918747325041295,0.257944984259083853750382786529
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,1.000000000000000000000000000000,28.170000000000001705302565824240,126,928,0.456969611570239075959420915751,0.439759236114099616443695595080
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4263,4952,0.889901198059320441835495785199,0.922053618744015701658156558551
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,2.000000000000000000000000000000,8.060000000000000497379915032070,3011,1757,0.025235034698620439214122868066,0.156518416741862897989534531007
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1376,2716,0.588734772661700822560248980153,0.730670149363577325907215254119
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,2.000000000000000000000000000000,10.019999999999999573674358543940,1483,1652,0.344990494171157457969911774853,0.365490592665970337460379369077
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2963,2627,0.783755683476105358131746925210,0.756080791005864782938772350462
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,8.000000000000000000000000000000,27.600000000000001421085471520200,4213,665,0.168599277585744861118755011375,0.040342038616538046513770865431
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,235,4707,0.726235402330756230071528989356,0.589062072681263093620884774282
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,10.000000000000000000000000000000,103.599999999999994315658113919199,737,193,0.920831316662952259477492589212,0.654913052054122091227839064231
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.250000000000000000000000000000,4881,4280,0.480619411824271092203986199820,0.232770395696163173715476091274
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3633,2487,0.598251076962798888914107919845,0.939867118889465946729444567609
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,1.000000000000000000000000000000,9.689999999999999502620084967930,1987,3393,0.039107323598116638940780376288,0.422455860756337620021128032022
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,1.000000000000000000000000000000,11.630000000000000781597009336110,2449,1045,0.531019560532644430139725955087,0.175469159442931427195233595739
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.209999999999999964472863211995,3149,4522,0.090686082335188988867713533182,0.687367229340598018261232482473
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,3.000000000000000000000000000000,11.960000000000000852651282912120,4398,1328,0.956935993365943482480417969782,0.483076640840619797589994277587
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1201,2834,0.397670666642487069530886856228,0.903118312513455756551650210895
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.330000000000000071054273576010,376,2035,0.204614742865785959047286723944,0.835318367203697564882247661444
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.359999999999999875655021241982,4051,3649,0.643501505529508022185325444298,0.292597725581377754444645233889
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,3.000000000000000000000000000000,36.600000000000001421085471520200,2803,599,0.277726868618279720823949219266,0.505530373020097623104618378420
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.620000000000000106581410364015,1625,3992,0.835484566722065169486199920357,0.116554895672947175788713991551
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,3.000000000000000000000000000000,9.529999999999999360511537815910,1686,1919,0.695059762239456202514986671304,0.412017262661829586356532217906
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2698,3452,0.137392303541302690517156293026,0.958575411967933166401678590773
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,12.000000000000000000000000000000,45.200000000000002842170943040401,3946,407,0.752548635074868799144098829856,0.242797642709687344630964389580
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.930000000000000048849813083507,437,3872,0.313814928436651818799418833805,0.635610627740621603187776145205
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,3.000000000000000000000000000000,16.870000000000000994759830064140,1096,1233,0.007930806096643209374130734091,0.576719221249222702141423724242
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.659999999999999920063942226989,4460,4648,0.567044980328530123792063477595,0.060983613925054670767966769063
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.189999999999999946709294817992,3210,1438,0.449413389546796659956839903316,0.768104125715792229733835938532
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.509999999999999786837179271970,2345,3035,0.889654724804684549077649080573,0.344224916616454712503525570355
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,87.000000000000000000000000000000,3.259999999999999786837179271970,1891,73,0.428869134269654728175424907022,0.097755021048709755948635802270
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.429999999999999937827510620991,3685,4088,0.988104911603033486677816199517,0.516060136262327384670811625256
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,3.000000000000000000000000000000,6.129999999999999893418589635985,4932,2290,0.121855045186355703812353112880,0.311808568349108083950227410241
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,642,3277,0.562217983545735489059325118433,0.825382285337895149623932411487
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,286,1854,0.866683941502124022271402736806,0.882324725892394745585534110432
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,2.000000000000000000000000000000,3.080000000000000071054273576010,4118,2737,0.308894879702478641902985145862,0.495572038954123827991793405090
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,2.000000000000000000000000000000,12.939999999999999502620084967930,2868,790,0.674669471999630343539422483445,0.708480894077569200995014853106
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.669999999999999928945726423990,1534,4895,0.235814162259921439313004043470,0.163598371414467702589234932020
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.080000000000000071054273576010,1311,724,0.947430842583999011097262155090,0.811406289158388971394231248269
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.290000000000000035527136788005,3111,4843,0.383779595216736213458830206946,0.325274395126849413806269240013
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,2.000000000000000000000000000000,13.009999999999999786837179271970,4363,1634,0.500071105543523852787757277838,0.595654722666367875127946263092
51,,,,,,,,,,,,,,,51_0,COMPLETED,SOBOL,0.000000000000000000000000000000,6.969999999999999751310042483965,60,2528,0.067047019202262164716543679788,0.017665478643029929733954119797
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,1.000000000000000000000000000000,6.400000000000000355271367880050,885,2350,0.254577008130028870080963088185,0.208144616972655072117959207390
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4709,3335,0.819644455002620841987948097085,0.663454920789226854083153739339
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,13.000000000000000000000000000000,67.349999999999994315658113919199,3458,289,0.202904390670359147108570141427,0.384188881967216733226422320513
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2137,4301,0.637405589602887623357219126774,0.993243398291990153836650279118
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,1.000000000000000000000000000000,9.410000000000000142108547152020,2297,1346,0.176637162474915399013042360821,0.743149103472009353588134672464
