trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,,,,,,,,,,,,,,,0_0,ABANDONED,SOBOL,,,1669,3660,517,97,211
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,20.000000000000000000000000000000,34.479999999999996873611962655559,3411,1990,489,214,67
2,,,,,,,,,,,,,,,2_0,ABANDONED,SOBOL,,,4327,4558,753,19,61
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,12.000000000000000000000000000000,30.179999999999999715782905695960,751,1093,222,167,166
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,21.000000000000000000000000000000,31.109999999999999431565811391920,210,3961,289,134,130
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,151.000000000000000000000000000000,1.899999999999999911182158029987,4714,400,694,49,16
6,,,,,,,,,,,,,,,6_0,ABANDONED,SOBOL,,,2376,1374,961,64,245
7,,,,,,,,,,,,,,,7_0,ABANDONED,SOBOL,,,2091,4812,87,43,80
8,,,,,,,,,,,,,,,8_0,ABANDONED,SOBOL,,,2831,799,927,144,193
9,,,,,,,,,,,,,,,9_0,ABANDONED,SOBOL,,,4453,3212,319,89,184
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,19.000000000000000000000000000000,3.370000000000000106581410364015,471,2400,663,222,47
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,51.000000000000000000000000000000,1.929999999999999937827510620991,1032,2656,846,189,2
12,,,,,,,,,,,,,,,12_0,ABANDONED,SOBOL,,,3677,4176,614,173,227
13,,,,,,,,,,,,,,,13_0,ABANDONED,SOBOL,,,1404,224,392,10,122
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,28.000000000000000000000000000000,4.389999999999999680255768907955,1515,4356,888,238,161
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,22.000000000000000000000000000000,18.609999999999999431565811391920,3563,6,110,75,48
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,40.000000000000000000000000000000,15.289999999999999147348717087880,3858,2750,656,129,77
17,,,,,,,,,,,,,,,17_0,ABANDONED,SOBOL,,,1223,1611,374,59,213
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,35.000000000000000000000000000000,53.130000000000002557953848736361,4564,2225,838,159,98
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,42.000000000000000000000000000000,2.100000000000000088817841970013,3022,4950,416,104,29
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,12.000000000000000000000000000000,24.030000000000001136868377216160,1902,700,575,205,135
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,21.000000000000000000000000000000,5.650000000000000355271367880050,2266,2887,450,184,34
22,,,,,,,,,,,,,,,22_0,ABANDONED,SOBOL,,,2658,1514,541,5,179
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,28.000000000000000000000000000000,11.250000000000000000000000000000,4904,3788,214,199,196
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,6.000000000000000000000000000000,18.010000000000001563194018672220,18,611,808,114,91
25,,,,,,,,,,,,,,,25_0,ABANDONED,SOBOL,,,864,4422,748,81,112
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,11.000000000000000000000000000000,5.740000000000000213162820728030,4216,1189,281,229,225
27,,,,,,,,,,,,,,,27_0,ABANDONED,SOBOL,,,3218,3444,984,34,153
28,,,,,,,,,,,,,,,28_0,ABANDONED,SOBOL,,,1758,4676,339,211,248
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,16.000000000000000000000000000000,43.869999999999997442046151263639,3163,973,683,110,104
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,66.000000000000000000000000000000,2.640000000000000124344978758018,4121,3699,75,164,23
31,,,,,,,,,,,,,,,31_0,ABANDONED,SOBOL,,,803,1952,915,32,129
32,,,,,,,,,,,,,,,32_0,ABANDONED,SOBOL,,,113,3102,610,62,171
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,63.000000000000000000000000000000,6.540000000000000035527136788005,4964,1259,389,132,57
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,30.000000000000000000000000000000,48.219999999999998863131622783840,2759,4004,873,76,68
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,30.000000000000000000000000000000,33.060000000000002273736754432321,1963,3171,780,157,121
36,,,,,,,,,,,,,,,36_0,ABANDONED,SOBOL,,,3118,2440,248,40,234
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,24.000000000000000000000000000000,6.410000000000000142108547152020,4620,4696,513,234,143
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,41.000000000000000000000000000000,1.379999999999999893418589635985,458,916,485,86,6
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,39.000000000000000000000000000000,3.390000000000000124344978758018,1167,4140,41,116,40
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,7.000000000000000000000000000000,16.899999999999998578914528479800,3757,260,949,202,185
41,,,,,,,,,,,,,,,41_0,ABANDONED,SOBOL,,,3502,2535,309,7,190
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,22.000000000000000000000000000000,49.909999999999996589394868351519,1419,1866,713,186,85
43,,,,,,,,,,,,,,,43_0,ABANDONED,SOBOL,,,1309,2715,195,70,140
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,19.000000000000000000000000000000,1.459999999999999964472863211995,3615,1647,789,249,26
45,,,,,,,,,,,,,,,45_0,ABANDONED,SOBOL,,,3947,4234,461,54,99
46,,,,,,,,,,,,,,,46_0,ABANDONED,SOBOL,,,975,127,552,140,235
47,,,,,,,,,,,,,,,47_0,ABANDONED,SOBOL,,,571,4909,988,169,216
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,24.000000000000000000000000000000,3.520000000000000017763568394003,2926,3309,721,216,54
49,,,,,,,,,,,,,,,49_0,ABANDONED,SOBOL,,,2152,2341,253,99,160
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,68.000000000000000000000000000000,1.090000000000000079936057773011,2433,3903,628,16,9
51,,,,,,,,,,,,,,,51_0,COMPLETED,SOBOL,7.000000000000000000000000000000,37.420000000000001705302565824240,2645,498,346,179,154
52,,,,,,,,,,,,,,,52_0,ABANDONED,SOBOL,,,4775,2930,892,124,222
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,22.000000000000000000000000000000,23.230000000000000426325641456060,690,3564,427,224,90
54,,,,,,,,,,,,,,,54_0,ABANDONED,SOBOL,,,4232,2048,586,92,203
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,59.000000000000000000000000000000,4.660000000000000142108547152020,1570,1151,819,45,37
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,31.000000000000000000000000000000,28.760000000000001563194018672220,1635,4044,141,177,105
57,,,,,,,,,,,,,,,57_0,ABANDONED,SOBOL,,,3287,346,857,14,249
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,26.000000000000000000000000000000,25.100000000000001421085471520200,4285,3072,405,193,126
59,,,,,,,,,,,,,,,59_0,COMPLETED,SOBOL,32.000000000000000000000000000000,2.060000000000000053290705182008,640,1319,625,123,20
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,25.000000000000000000000000000000,5.139999999999999680255768907955,243,3724,931,93,56
61,,,,,,,,,,,,,,,61_0,ABANDONED,SOBOL,,,2590,4622,668,47,207
62,,,,,,,,,,,,,,,62_0,COMPLETED,SOBOL,13.000000000000000000000000000000,19.079999999999998294697434175760,2491,980,322,148,70
63,,,,,,,,,,,,,,,63_0,COMPLETED,SOBOL,17.000000000000000000000000000000,0.000000000000000000000000000000,2146,2543,697,247,231
64,,,,,,,,,,,,,,,64_0,ABANDONED,SOBOL,,,2934,1808,294,68,119
65,,,,,,,,,,,,,,,65_0,COMPLETED,SOBOL,81.000000000000000000000000000000,1.300000000000000044408920985006,4477,4063,964,138,7
66,,,,,,,,,,,,,,,66_0,ABANDONED,SOBOL,,,978,4758,500,23,188
67,,,,,,,,,,,,,,,67_0,COMPLETED,SOBOL,41.000000000000000000000000000000,9.240000000000000213162820728030,3946,883,530,171,43
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,31.000000000000000000000000000000,48.719999999999998863131622783840,3651,3158,232,101,84
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,18.000000000000000000000000000000,8.419999999999999928945726423990,1271,2483,765,218,189
70,,,,,,,,,,,,,,,70_0,COMPLETED,SOBOL,78.000000000000000000000000000000,1.699999999999999955591079014994,1472,3332,270,38,25
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,22.000000000000000000000000000000,44.939999999999997726263245567679,3452,2270,735,155,139
72,,,,,,,,,,,,,,,72_0,COMPLETED,SOBOL,8.000000000000000000000000000000,10.650000000000000355271367880050,1100,745,972,233,102
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,24.000000000000000000000000000000,30.989999999999998436805981327780,403,4282,537,203,74
74,,,,,,,,,,,,,,,74_0,ABANDONED,SOBOL,,,4677,109,445,118,218
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,21.000000000000000000000000000000,22.730000000000000426325641456060,3056,2676,805,188,158
76,,,,,,,,,,,,,,,76_0,ABANDONED,SOBOL,,,2022,1714,209,9,52
77,,,,,,,,,,,,,,,77_0,ABANDONED,SOBOL,,,2288,4526,833,108,156
78,,,,,,,,,,,,,,,78_0,COMPLETED,SOBOL,24.000000000000000000000000000000,3.839999999999999857891452847980,2790,1116,181,209,11
79,,,,,,,,,,,,,,,79_0,ABANDONED,SOBOL,,,4958,3547,569,30,115
80,,,,,,,,,,,,,,,80_0,ABANDONED,SOBOL,,,122,2093,412,163,220
81,,,,,,,,,,,,,,,81_0,ABANDONED,SOBOL,,,4083,1421,877,63,87
82,,,,,,,,,,,,,,,82_0,COMPLETED,SOBOL,25.000000000000000000000000000000,0.540000000000000035527136788005,3167,3833,361,242,38
83,,,,,,,,,,,,,,,83_0,ABANDONED,SOBOL,,,1757,518,645,79,175
84,,,,,,,,,,,,,,,84_0,ABANDONED,SOBOL,,,1814,3028,945,3,64
85,,,,,,,,,,,,,,,85_0,ABANDONED,SOBOL,,,4144,3930,708,112,167
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,12.000000000000000000000000000000,4.269999999999999573674358543940,934,461,305,198,61
87,,,,,,,,,,,,,,,87_0,COMPLETED,SOBOL,23.000000000000000000000000000000,5.450000000000000177635683940025,61,4583,236,231,19
88,,,,,,,,,,,,,,,88_0,ABANDONED,SOBOL,,,4863,1018,770,83,133
89,,,,,,,,,,,,,,,89_0,ABANDONED,SOBOL,,,2732,3606,472,153,244
90,,,,,,,,,,,,,,,90_0,ABANDONED,SOBOL,,,2189,1996,502,36,107
91,,,,,,,,,,,,,,,91_0,ABANDONED,SOBOL,,,1928,4185,378,73,194
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,5.000000000000000000000000000000,25.260000000000001563194018672220,2994,167,597,236,82
93,,,,,,,,,,,,,,,93_0,COMPLETED,SOBOL,62.000000000000000000000000000000,4.049999999999999822364316059975,4578,2580,146,57,44
94,,,,,,,,,,,,,,,94_0,ABANDONED,SOBOL,,,346,1772,861,127,181
95,,,,,,,,,,,,,,,95_0,COMPLETED,SOBOL,25.000000000000000000000000000000,27.859999999999999431565811391920,1200,3274,680,160,147
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,214.000000000000000000000000000000,1.300000000000000044408920985006,3878,2366,333,28,2
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,28.000000000000000000000000000000,16.210000000000000852651282912120,3547,4799,912,207,125
98,,,,,,,,,,,,,,,98_0,COMPLETED,SOBOL,39.000000000000000000000000000000,5.400000000000000355271367880050,1331,4973,590,142,51
99,,,,,,,,,,,,,,,99_0,ABANDONED,SOBOL,,,3746,628,432,41,164
100,,,,,,,,,,,,,,,100_0,COMPLETED,SOBOL,22.000000000000000000000000000000,7.240000000000000213162820728030,4001,3373,821,220,213
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,25.000000000000000000000000000000,52.049999999999997157829056959599,1079,2228,168,88,77
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,22.000000000000000000000000000000,68.769999999999996020960679743439,546,2798,357,121,95
103,,,,,,,,,,,,,,,103_0,ABANDONED,SOBOL,,,4376,1593,641,191,239
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,2.000000000000000000000000000000,5.950000000000000177635683940025,2051,73,904,175,30
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,28.000000000000000000000000000000,2.509999999999999786837179271970,2535,2132,999,95,33
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,35.000000000000000000000000000000,43.130000000000002557953848736361,4740,4406,267,165,94
107,,,,,,,,,,,,,,,107_0,ABANDONED,SOBOL,,,182,1234,732,18,199
108,,,,,,,,,,,,,,,108_0,ABANDONED,SOBOL,,,735,3790,793,50,225
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,22.000000000000000000000000000000,53.250000000000000000000000000000,4345,562,197,136,112
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,89.000000000000000000000000000000,1.350000000000000088817841970013,3388,2817,557,66,12
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.510000000000000008881784197001,1690,1534,465,245,150
112,,,,,,,,,,,,,,,112_0,COMPLETED,SOBOL,72.000000000000000000000000000000,1.330000000000000071054273576010,1700,4717,800,91,21
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,10.000000000000000000000000000000,10.210000000000000852651282912120,3378,934,206,223,127
114,,,,,,,,,,,,,,,114_0,ABANDONED,SOBOL,,,4375,3190,533,43,250
115,,,,,,,,,,,,,,,115_0,COMPLETED,SOBOL,21.000000000000000000000000000000,49.609999999999999431565811391920,706,2460,442,145,106
116,,,,,,,,,,,,,,,116_0,ABANDONED,SOBOL,,,4749,1844,977,11,206
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,24.000000000000000000000000000000,19.390000000000000568434188608080,2505,4120,273,189,169
118,,,,,,,,,,,,,,,118_0,COMPLETED,SOBOL,10.000000000000000000000000000000,6.089999999999999857891452847980,2419,241,740,119,55
119,,,,,,,,,,,,,,,119_0,ABANDONED,SOBOL,,,2060,3678,366,21,145
120,,,,,,,,,,,,,,,120_0,COMPLETED,SOBOL,41.000000000000000000000000000000,1.669999999999999928945726423990,2864,1934,648,169,8
121,,,,,,,,,,,,,,,121_0,ABANDONED,SOBOL,,,517,953,880,215,232
122,,,,,,,,,,,,,,,122_0,COMPLETED,SOBOL,22.000000000000000000000000000000,0.880000000000000004440892098501,1070,4022,567,245,188
123,,,,,,,,,,,,,,,123_0,ABANDONED,SOBOL,,,4011,379,408,66,83
124,,,,,,,,,,,,,,,124_0,COMPLETED,SOBOL,51.000000000000000000000000000000,4.580000000000000071054273576010,3717,3122,830,135,42
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,23.000000000000000000000000000000,32.299999999999997157829056959599,1562,2908,671,199,101
126,,,,,,,,,,,,,,,126_0,ABANDONED,SOBOL,,,3518,1453,327,113,237
127,,,,,,,,,,,,,,,127_0,COMPLETED,SOBOL,29.000000000000000000000000000000,20.230000000000000426325641456060,3888,3884,934,183,138
128,,,,,,,,,,,,,,,128_0,ABANDONED,SOBOL,,,1190,478,94,4,24
