trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,1391,4490,3220,0.682152255535125706664700828696,0.0000000001
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,4440,1420,2187,0.479925982667133210757270944669,0.001
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,3473,2711,4658,0.782857035143300850066339080513,0.5
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,424,776,729,0.113792545409873130379807548707,0.01
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,1167,3463,1483,0.228375928668305278046446460394,0.01
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,3122,552,2518,0.929613647835329182100849720882,0.000000000001
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,3012.000000000000000000000000000000,2.390000000000000124344978758018,4011,4343,25,0.361181459354236733538812131883,0.0001
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,2055,2250,3955,0.531257370291277730700585379964,0.4
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,2194,3046,319,0.941318389706313651821290022781,0.3
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,4145,1065,4288,0.146529766481369727593175866787,0.00000001
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,2631,4784,1776,0.589712604474276314014957733889,0.2
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,681,1750,2849,0.263711391769349601243987990529,0.0001
12,,,,,,,,,,,,,,,12_0,FAILED,SOBOL,,,250,4051,4990,0.398129312362521914359092534141,0.0000000001
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,3295,1916,1022,0.693929356791079032795721559523,0.1
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,4887,3134,3552,0.016250143535435201264105486985,0.9
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,1842,255,2479,0.841262777443975262592346098245,0.001
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,1682,3330,4214,0.342276940554380404435619311698,0.00000001
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,4736,138,558,0.515258837703615468761597639968,0.8
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,3144,3856,3068,0.194912799391895541489816423564,0.0000001
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,90,2034,1683,0.897107754468917883983181127405,0.6
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,832,4980,1105,0.762670608926564463914132829814,0.7
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,2792,1633,4761,0.090669676437973981131257517063,0.001
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,4306,2852,2230,0.645580557748675398777038481057,0.000000000001
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,2345,1183,3615,0.442366567332297566661480914263,0.000001
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,1903,4147,1937,0.032308908844366671098136123419,0.5
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,3849,2367,3284,0.860228949179872914854172449850,0.3
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,2960,3658,811,0.430574021240696325207863992546,0.01
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,1015,434,4428,0.727331784898415212303746102407,0.001
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,585,2516,2737,0.612775300210341766771193761087,0.0001
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,3625,893,1391,0.283836224535480130537479226405,0.7
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,4592,4684,3881,0.978938930043950716886058671662,0.001
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,1552,1302,265,0.183162131046876314188764922619,0.00001
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,1475,2782,1868,0.455811289792880436344546524197,0.2
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,4670,686,2904,0.627833746353164356968079573562,0.00000001
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,3704,4404,415,0.073566348740831025154740530070,0.0001
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,508,1485,4337,0.776751200949773235038264829200,0.0000000001
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,1092,4277,3451,0.875230408275499915937700734503,0.6
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,2881,2335,2415,0.204219372918829328300560632670,0.000000001
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,3770,3553,4884,0.525208656987175337427231625043,0.01
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,1981,480,961,0.321035225981846472631531241859,0.0000001
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,2423,4694,4591,0.169233940709382302269858655563,0.3
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,4227,1821,630,0.996194659426808404312225775357,0.000000001
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,2713,3113,3158,0.301430634245276440896788017199,0.8
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,909,981,2082,0.599178176064044221149629265710,0.000000000001
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,9108.000000000000000000000000000000,0.760000000000000008881784197001,13,3220,83,0.748725663214921954846658991301,0.00000000001
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,3223,189,4044,0.420776365701109156258752364010,0.9
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,4815,3981,1535,0.850770211908966289549027806061,0.4
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,1604,2007,2611,0.054034091293811800649216081638,0.0001
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,1763,3785,879,0.553024240877479367206603910745,0.4
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,4964,2124,4528,0.351757264532148838931391310325,0.1
50,,,,,,,,,,,,,,,50_0,FAILED,SOBOL,,,3372,3415,1999,0.919797176308929875787612218119,0.000001
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,172,72,3387,0.249742908414453262944121547662,0.001
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,759,2917,3825,0.100222319833934314647905239326,0.00000001
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,13487.000000000000000000000000000000,0.479999999999999982236431605997,2554,1097,176,0.800470260839909353300924976793,0.8
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,4068,4889,2684,0.497147169601172222996865457390,0.001
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,2273,1704,1296,0.668182402156293431261246951181,0.000000001
56,,,,,,,,,,,,,,,56_0,FAILED,SOBOL,,,2134,3749,2978,0.819987048355862446769037887861,0.00000001
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,3933,364,1628,0.026157865719869732162861097891,0.5
58,,,,,,,,,,,,,,,58_0,FAILED,SOBOL,,,3045,4082,4117,0.703262300955131647306473041681,0.00001
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,1245,2453,507,0.376271191118285053267555895218,0.000000001
60,,,,,,,,,,,,,,,60_0,RUNNING,SOBOL,,,345,4600,2332,0.277772758843377209903025004678,0.4
