trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,4301,2479,73,697,0.035448718361556531830647287507
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,2047,3602,6,110,0.809502271903678738418363991514
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,653,902,89,830,0.703679111683741198568498020904
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,2921,4545,34,492,0.451467966297641409845198268158
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,778.000000000000000000000000000000,1.950000000000000177635683940025,3144,112,14,269,0.316616183103993531489095403231
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,393,3814,59,927,0.590756440954282924238327723288
6,,,,,,,,,,,,,,,6_0,FAILED,SOBOL,,,1831,1670,48,136,0.921466907387599398759903124301
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,4558,2890,82,544,0.171290882935747512672008951995
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,4936,1203,41,975,0.861283691013231877953160164907
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,1413,4905,88,317,0.106724110463634128120880006918
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,39,2136,20,623,0.376312102226540434735113649367
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,3537,3357,52,215,0.655810525549575640269495124812
12,,,,,,,,,,,,,,,12_0,FAILED,SOBOL,,,2508,1383,96,62,0.517771557336673127203141575592
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,1027,2506,28,649,0.263125509491190290312090382940
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,2444,431,67,413,0.220868961514905093324045992631
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,3942,4074,13,751,0.998332025961950475512196589989
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,8165.000000000000000000000000000000,2.040000000000000035527136788005,3847,526,83,165,0.494007744880393173669830275685
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,2190,4306,40,515,0.725204634057357910847940729582
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,1127,1449,54,297,0.759729027187451722014088772994
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,2761,2748,25,898,0.021187045237049461493539226353
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,3598,1910,29,864,0.150435657320544119430749674393
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,250,3266,100,459,0.881667905373498816956612245122
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,1356,966,8,731,0.604225932592526104869534719910
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,4717,4844,65,76,0.363770417938008905345270704856
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,4461,1750,1,380,0.663919940745458014852431460895
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,1574,3107,71,784,0.428826398631557803575731213641
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,343.000000000000000000000000000000,1.110000000000000097699626167014,492,182,35,28,0.090254337044432766945512014445
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,3395,4060,94,683,0.817099221931770425264573987079
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,2984,679,60,594,0.945147373313084293577901462413
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,867,4459,19,244,0.210018710264936098175425627232
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,1993,2228,77,945,0.308102101502940040056444104266
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,4084,3526,47,345,0.536860281152650720137842199620
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,4194,818,21,90,0.177301134258508685803690241301
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,1922,4675,51,745,0.915353863373398746183795537945
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,859,2365,44,442,0.569441774930804944787610111234
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,3108,3743,85,847,0.337759529214352371973006938788
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,3329,1612,69,883,0.457523738849908101489205591861
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,597,2892,10,283,0.697490089897066400936864738469
38,,,,,,,,,,,,,,,38_0,ABANDONED,SOBOL,,,1703,45,96,531,0.788294367365539039305133428570
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,4449,3844,27,181,0.056576673544943334448475980025
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,4808,2083,90,360,0.972740238156169612082635467232
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,1305,3363,33,960,0.246380799036473030483307411487
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,223,1141,75,227,0.272590555936098100087150442050
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,3741,4940,4,577,0.508173261657357211440455557749
44,,,,,,,,,,,,,,,44_0,FAILED,SOBOL,,,2715,351,50,668,0.630112065486609917996929652872
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,1213,4209,79,13,0.401839242376387129063175507326
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,2339,1274,15,801,0.116143546450883150544797217663
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,3815,2651,58,396,0.851761462334543417718180080556
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,4032,1520,37,560,0.358097209233790625404481033911
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,2393,2722,92,153,0.609819191012531569562327149470
50,,,,,,,,,,,,,,,50_0,FAILED,SOBOL,,,1000,569,2,912,0.903254655919969118293977317080
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,2652,4289,70,254,0.128715657539665712105758643702
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,3491,1066,78,476,0.015528990447521210521708567853
53,,,,,,,,,,,,,,,53_0,FAILED,SOBOL,,,125,4688,46,813,0.765215762063860882591370682348
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,1562,1998,63,124,0.746867600318044444485110489040
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,4905,3141,17,712,0.472241985928267216099385450434
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,12982.000000000000000000000000000000,1.370000000000000106581410364015,4668,287,56,767,0.561936328373849436346176844381
