trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,47.000000000000000000000000000000,2.799999999999999822364316059975,1714,13,2753,str\(\'KL\'\),str\(\'stdev\'\),0.238009198065847166203568008314,95,2
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,32.000000000000000000000000000000,3.450000000000000177635683940025,2410,2,4312,str\(\'KL\'\),str\(\'tstat\'\),0.848828532008454206270187114569,13,1
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,40.000000000000000000000000000000,8.369999999999999218402990663890,2707,16,1571,str\(\'H\'\),str\(\'stdev\'\),0.092942945815622804439648518837,58,3
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,21.000000000000000000000000000000,49.500000000000000000000000000000,4412,6,3468,str\(\'KL\'\),str\(\'stdev\'\),0.297954602822661396288594914949,86,3
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,39.000000000000000000000000000000,4.370000000000000106581410364015,316,20,1195,str\(\'H\'\),str\(\'tstat\'\),0.510769333397969593768550566892,42,1
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,49.000000000000000000000000000000,2.060000000000000053290705182008,300,3,3362,str\(\'H\'\),str\(\'tstat\'\),0.771990528568625489214127810556,92,2
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,35.000000000000000000000000000000,14.169999999999999928945726423990,4974,11,636,str\(\'KL\'\),str\(\'stdev\'\),0.044551102554425597856990748369,35,1
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,45.000000000000000000000000000000,2.859999999999999875655021241982,2929,9,3778,str\(\'H\'\),str\(\'stdev\'\),0.315105039266869446645813468422,7,1
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,41.000000000000000000000000000000,5.940000000000000390798504668055,1956,17,1519,str\(\'KL\'\),str\(\'tstat\'\),0.618863733984529984510913891427,64,3
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,41.000000000000000000000000000000,12.880000000000000781597009336110,1422,7,585,str\(\'KL\'\),str\(\'stdev\'\),0.483615691350772980428018854582,45,2
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,36.000000000000000000000000000000,2.120000000000000106581410364015,3614,20,2838,str\(\'H\'\),str\(\'tstat\'\),0.707151138063520146026519341831,76,3
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,40.000000000000000000000000000000,1.560000000000000053290705182008,4111,0,2201,str\(\'KL\'\),str\(\'tstat\'\),0.931181039799004794943471097213,55,1
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,35.000000000000000000000000000000,0.000000000000000000000000000000,698,14,4924,str\(\'H\'\),str\(\'stdev\'\),0.127539581218734376921730699905,23,2
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,37.000000000000000000000000000000,3.060000000000000053290705182008,783,1,808,str\(\'KL\'\),str\(\'tstat\'\),0.007435210626572370633258213246,62,3
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,33.000000000000000000000000000000,1.979999999999999982236431605997,4254,14,3242,str\(\'H\'\),str\(\'stdev\'\),0.809096995772793925461030539736,18,2
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,42.000000000000000000000000000000,5.059999999999999609201495331945,3491,7,1330,str\(\'KL\'\),str\(\'stdev\'\),0.581623608583584417175416092505,40,2
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,1319,21,3921,str\(\'H\'\),str\(\'tstat\'\),0.352331873390823613334532637964,84,1
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,33.000000000000000000000000000000,9.470000000000000639488462184090,2180,10,2981,str\(\'H\'\),str\(\'stdev\'\),0.748257461717352301278083359648,3,1
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,52.000000000000000000000000000000,11.029999999999999360511537815910,3093,18,396,str\(\'KL\'\),str\(\'tstat\'\),0.442519089847803137605097845153,72,2
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,46.000000000000000000000000000000,1.810000000000000053290705182008,4789,3,4802,str\(\'H\'\),str\(\'tstat\'\),0.168525474749505521643300198775,100,3
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,33.000000000000000000000000000000,0.000000000000000000000000000000,96,12,2372,str\(\'KL\'\),str\(\'stdev\'\),0.890208616001531449768435777514,31,1
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,43.000000000000000000000000000000,3.620000000000000106581410364015,540,5,4541,str\(\'KL\'\),str\(\'stdev\'\),0.636690901838243061838795711083,81,3
57,,,,,,,,,,,,,,,57_0,COMPLETED,SOBOL,46.000000000000000000000000000000,4.400000000000000355271367880050,4577,19,1971,str\(\'H\'\),str\(\'tstat\'\),0.429815199000760927994235771621,49,1
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,2523,1,2603,str\(\'KL\'\),str\(\'tstat\'\),0.212592364361509689185680826995,21,2
59,,,,,,,,,,,,,,,59_0,COMPLETED,SOBOL,40.000000000000000000000000000000,22.210000000000000852651282912120,2206,15,187,str\(\'H\'\),str\(\'stdev\'\),0.970396710902452497293779742904,53,1
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,45.000000000000000000000000000000,8.740000000000000213162820728030,1797,4,1753,str\(\'H\'\),str\(\'tstat\'\),0.114432671898975962809785755780,34,3
61,,,,,,,,,,,,,,,61_0,COMPLETED,SOBOL,38.000000000000000000000000000000,37.130000000000002557953848736361,3395,12,4162,str\(\'KL\'\),str\(\'stdev\'\),0.827344312045723229154248201667,90,1
62,,,,,,,,,,,,,,,62_0,COMPLETED,SOBOL,41.000000000000000000000000000000,6.280000000000000248689957516035,3882,8,1035,str\(\'H\'\),str\(\'stdev\'\),0.532379485886543935002634952980,69,2
63,,,,,,,,,,,,,,,63_0,COMPLETED,SOBOL,46.000000000000000000000000000000,1.070000000000000062172489379009,1083,16,3601,str\(\'KL\'\),str\(\'tstat\'\),0.276346208872273568779576180532,12,2
64,,,,,,,,,,,,,,,64_0,COMPLETED,SOBOL,26.000000000000000000000000000000,8.300000000000000710542735760100,1047,6,1104,str\(\'H\'\),str\(\'tstat\'\),0.247693370265886197989502193195,64,1
65,,,,,,,,,,,,,,,65_0,COMPLETED,SOBOL,48.000000000000000000000000000000,8.609999999999999431565811391920,3836,20,3519,str\(\'KL\'\),str\(\'stdev\'\),0.943092498205602147720583161572,8,1
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,46.000000000000000000000000000000,20.480000000000000426325641456060,3422,2,1676,str\(\'H\'\),str\(\'stdev\'\),0.663995530933141675511421908595,36,2
67,,,,,,,,,,,,,,,67_0,COMPLETED,SOBOL,44.000000000000000000000000000000,1.050000000000000044408920985006,1854,16,4246,str\(\'KL\'\),str\(\'tstat\'\),0.394713657727465028202118446643,92,3
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,41.000000000000000000000000000000,1.489999999999999991118215802999,2228,5,2682,str\(\'KL\'\),str\(\'stdev\'\),0.505105313334614058895510879665,23,3
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,37.000000000000000000000000000000,49.090000000000003410605131648481,2574,13,116,str\(\'H\'\),str\(\'tstat\'\),0.311417293602600675495040150054,54,3
70,,,,,,,,,,,,,,,70_0,COMPLETED,SOBOL,38.000000000000000000000000000000,0.000000000000000000000000000000,4546,9,4454,str\(\'KL\'\),str\(\'tstat\'\),0.079362122537568205449254321593,76,1
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,43.000000000000000000000000000000,3.299999999999999822364316059975,498,17,2045,str\(\'H\'\),str\(\'stdev\'\),0.854618068199604730139640196285,45,3
72,,,,,,,,,,,,,,,72_0,COMPLETED,SOBOL,52.000000000000000000000000000000,1.899999999999999911182158029987,118,0,4877,str\(\'H\'\),str\(\'stdev\'\),0.616725172163918644585578476836,95,1
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,37.000000000000000000000000000000,7.820000000000000284217094304040,4840,14,2286,str\(\'KL\'\),str\(\'tstat\'\),0.325027266602963216257649037289,26,2
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,23.000000000000000000000000000000,2.689999999999999946709294817992,3062,6,2909,str\(\'H\'\),str\(\'tstat\'\),0.034739401016384362230748905631,4,2
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,44.000000000000000000000000000000,4.009999999999999786837179271970,2138,20,475,str\(\'KL\'\),str\(\'stdev\'\),0.773995967561379116794739729812,73,1
76,,,,,,,,,,,,,,,76_0,COMPLETED,SOBOL,36.000000000000000000000000000000,1.409999999999999920063942226989,1282,9,1414,str\(\'KL\'\),str\(\'tstat\'\),0.141251740902662265009226416623,42,1
77,,,,,,,,,,,,,,,77_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.229999999999999982236431605997,3445,18,3844,str\(\'H\'\),str\(\'stdev\'\),0.925279187669977520869224463240,85,2
78,,,,,,,,,,,,,,,78_0,COMPLETED,SOBOL,48.000000000000000000000000000000,10.859999999999999431565811391920,4281,3,727,str\(\'KL\'\),str\(\'stdev\'\),0.713186354679986811433423099515,57,2
79,,,,,,,,,,,,,,,79_0,COMPLETED,SOBOL,35.000000000000000000000000000000,1.899999999999999911182158029987,839,11,3311,str\(\'H\'\),str\(\'tstat\'\),0.469793240092694741605328090372,14,3
80,,,,,,,,,,,,,,,80_0,COMPLETED,SOBOL,45.000000000000000000000000000000,2.479999999999999982236431605997,652,4,2439,str\(\'KL\'\),str\(\'stdev\'\),0.350206513619050363583795615341,53,2
81,,,,,,,,,,,,,,,81_0,COMPLETED,SOBOL,33.000000000000000000000000000000,0.000000000000000000000000000000,4074,12,4698,str\(\'H\'\),str\(\'tstat\'\),0.591559037968516387984152515855,22,1
82,,,,,,,,,,,,,,,82_0,COMPLETED,SOBOL,23.000000000000000000000000000000,12.570000000000000284217094304040,3670,10,344,str\(\'KL\'\),str\(\'tstat\'\),0.799294689215719666997017611720,50,3
83,,,,,,,,,,,,,,,83_0,COMPLETED,SOBOL,47.000000000000000000000000000000,1.250000000000000000000000000000,1449,18,3071,str\(\'H\'\),str\(\'stdev\'\),0.009450044600293038693505920378,81,2
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,36.000000000000000000000000000000,0.800000000000000044408920985006,2008,7,4007,str\(\'H\'\),str\(\'tstat\'\),0.903907335694879243703780957730,12,3
85,,,,,,,,,,,,,,,85_0,FAILED,SOBOL,,,2951,21,1284,str\(\'KL\'\),str\(\'stdev\'\),0.162610182629898181172478643930,68,1
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,39.000000000000000000000000000000,3.229999999999999982236431605997,4932,1,3132,str\(\'H\'\),str\(\'stdev\'\),0.448544673541560745544387600603,90,1
87,,,,,,,,,,,,,,,87_0,COMPLETED,SOBOL,40.000000000000000000000000000000,6.519999999999999573674358543940,268,14,879,str\(\'KL\'\),str\(\'tstat\'\),0.734425377536565116010081055720,34,2
88,,,,,,,,,,,,,,,88_0,COMPLETED,SOBOL,37.000000000000000000000000000000,4.009999999999999786837179271970,367,8,3711,str\(\'KL\'\),str\(\'tstat\'\),0.980082909325137752176715366659,84,3
89,,,,,,,,,,,,,,,89_0,COMPLETED,SOBOL,42.000000000000000000000000000000,8.080000000000000071054273576010,4434,16,964,str\(\'H\'\),str\(\'stdev\'\),0.210705074597150099346976048764,40,3
90,,,,,,,,,,,,,,,90_0,COMPLETED,SOBOL,38.000000000000000000000000000000,5.500000000000000000000000000000,2665,4,4077,str\(\'KL\'\),str\(\'stdev\'\),0.431584590490907415993859785885,19,3
91,,,,,,,,,,,,,,,91_0,COMPLETED,SOBOL,42.000000000000000000000000000000,2.529999999999999804600747665972,2378,12,1799,str\(\'H\'\),str\(\'tstat\'\),0.627130461202934363917904647678,62,2
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,49.000000000000000000000000000000,27.230000000000000426325641456060,1667,2,239,str\(\'H\'\),str\(\'stdev\'\),0.270680400528013731520360352079,31,1
93,,,,,,,,,,,,,,,93_0,COMPLETED,SOBOL,40.000000000000000000000000000000,1.790000000000000035527136788005,3216,15,2513,str\(\'KL\'\),str\(\'tstat\'\),0.545840388385579022845206509373,99,2
94,,,,,,,,,,,,,,,94_0,COMPLETED,SOBOL,46.000000000000000000000000000000,3.759999999999999786837179271970,4062,5,1904,str\(\'H\'\),str\(\'tstat\'\),0.813757893418893263337565713300,71,3
95,,,,,,,,,,,,,,,95_0,COMPLETED,SOBOL,43.000000000000000000000000000000,1.129999999999999893418589635985,1214,19,4645,str\(\'KL\'\),str\(\'stdev\'\),0.120216612741351133730738354188,3,2
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,37.000000000000000000000000000000,3.029999999999999804600747665972,1096,2,2865,str\(\'KL\'\),str\(\'stdev\'\),0.573599921194836492865931631968,66,3
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,41.000000000000000000000000000000,14.390000000000000568434188608080,3943,16,588,str\(\'H\'\),str\(\'tstat\'\),0.359871018446981882910051808722,11,1
98,,,,,,,,,,,,,,,98_0,COMPLETED,SOBOL,17.000000000000000000000000000000,0.000000000000000000000000000000,3177,6,4999,str\(\'KL\'\),str\(\'tstat\'\),0.031083933636546136336509249531,33,3
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.669999999999999928945726423990,1630,20,2252,str\(\'H\'\),str\(\'stdev\'\),0.785934473251923892966885887290,88,2
100,,,,,,,,,,,,,,,100_0,COMPLETED,SOBOL,42.000000000000000000000000000000,6.389999999999999680255768907955,2491,9,692,str\(\'H\'\),str\(\'tstat\'\),0.176093652416020624018599960436,21,2
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,37.000000000000000000000000000000,0.000000000000000000000000000000,2779,17,3433,str\(\'KL\'\),str\(\'stdev\'\),0.882152096370235061506548390753,51,1
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,35.000000000000000000000000000000,0.000000000000000000000000000000,4478,4,1526,str\(\'H\'\),str\(\'stdev\'\),0.725126827107742455424954641785,79,1
103,,,,,,,,,,,,,,,103_0,COMPLETED,SOBOL,42.000000000000000000000000000000,3.379999999999999893418589635985,410,13,3800,str\(\'KL\'\),str\(\'tstat\'\),0.466139739450067258630383548734,49,2
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,37.000000000000000000000000000000,0.000000000000000000000000000000,226,7,1632,str\(\'KL\'\),str\(\'tstat\'\),0.189459945188835271467908683007,97,1
105,,,,,,,,,,,,,,,105_0,FAILED,SOBOL,,,4889,21,4359,str\(\'H\'\),str\(\'stdev\'\),0.994015575941652018698846404732,30,2
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,40.000000000000000000000000000000,8.150000000000000355271367880050,2837,0,1226,str\(\'KL\'\),str\(\'stdev\'\),0.644261102009564656789564196515,2,3
107,,,,,,,,,,,,,,,107_0,COMPLETED,SOBOL,42.000000000000000000000000000000,4.009999999999999786837179271970,1895,13,3485,str\(\'H\'\),str\(\'tstat\'\),0.421760701874271060063392724260,69,2
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,1486,2,4420,str\(\'H\'\),str\(\'stdev\'\),0.556030231401324237516803350445,39,3
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,30.000000000000000000000000000000,0.000000000000000000000000000000,3709,11,2167,str\(\'KL\'\),str\(\'tstat\'\),0.253185708856210112127627098744,82,2
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,23.000000000000000000000000000000,1.100000000000000088817841970013,4193,10,2794,str\(\'H\'\),str\(\'tstat\'\),0.106407199947163466635657869119,60,3
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,44.000000000000000000000000000000,46.380000000000002557953848736361,770,18,72,str\(\'KL\'\),str\(\'stdev\'\),0.834881672538816954620699561929,17,1
112,,,,,,,,,,,,,,,112_0,COMPLETED,SOBOL,23.000000000000000000000000000000,3.160000000000000142108547152020,876,10,4199,str\(\'H\'\),str\(\'tstat\'\),0.953038720479235101912252048351,56,3
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,46.000000000000000000000000000000,3.910000000000000142108547152020,4319,18,1765,str\(\'KL\'\),str\(\'stdev\'\),0.230442358821630471910069104524,25,3
114,,,,,,,,,,,,,,,114_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,3563,3,3667,str\(\'H\'\),str\(\'stdev\'\),0.380660560987889751149992889623,47,1
115,,,,,,,,,,,,,,,115_0,COMPLETED,SOBOL,35.000000000000000000000000000000,9.900000000000000355271367880050,1400,11,1076,str\(\'KL\'\),str\(\'tstat\'\),0.685362934513017552085045736021,77,3
116,,,,,,,,,,,,,,,116_0,COMPLETED,SOBOL,36.000000000000000000000000000000,4.950000000000000177635683940025,2096,0,2017,str\(\'KL\'\),str\(\'stdev\'\),0.290415844421833768684848564590,10,1
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,36.000000000000000000000000000000,0.000000000000000000000000000000,3018,14,4601,str\(\'H\'\),str\(\'tstat\'\),0.518794359209015953915411500930,65,1
118,,,,,,,,,,,,,,,118_0,COMPLETED,SOBOL,78.000000000000000000000000000000,22.399999999999998578914528479800,4726,8,205,str\(\'KL\'\),str\(\'tstat\'\),0.871992333466187097279487261403,93,2
119,,,,,,,,,,,,,,,119_0,FAILED,SOBOL,,,5,21,2635,str\(\'H\'\),str\(\'stdev\'\),0.069294549975544211806166572387,38,3
120,,,,,,,,,,,,,,,120_0,COMPLETED,SOBOL,71.000000000000000000000000000000,12.609999999999999431565811391920,611,4,466,str\(\'H\'\),str\(\'stdev\'\),0.338267056161537793546045804760,87,1
121,,,,,,,,,,,,,,,121_0,COMPLETED,SOBOL,39.000000000000000000000000000000,2.910000000000000142108547152020,4660,12,3037,str\(\'KL\'\),str\(\'tstat\'\),0.595213553581386833890576326667,44,2
122,,,,,,,,,,,,,,,122_0,COMPLETED,SOBOL,35.000000000000000000000000000000,1.219999999999999973354647408996,2618,8,2395,str\(\'H\'\),str\(\'tstat\'\),0.764453792672604270919123337080,16,2
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,33.000000000000000000000000000000,0.000000000000000000000000000000,2270,17,4810,str\(\'KL\'\),str\(\'stdev\'\),0.052578150870278478334896021806,58,1
124,,,,,,,,,,,,,,,124_0,COMPLETED,SOBOL,18.000000000000000000000000000000,1.790000000000000035527136788005,1736,6,3244,str\(\'KL\'\),str\(\'tstat\'\),0.907563691638410108275536458677,28,1
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,69.000000000000000000000000000000,4.910000000000000142108547152020,3303,19,835,str\(\'H\'\),str\(\'stdev\'\),0.150672565503045918777758060969,96,2
126,,,,,,,,,,,,,,,126_0,COMPLETED,SOBOL,39.000000000000000000000000000000,1.860000000000000097699626167014,3797,1,3972,str\(\'KL\'\),str\(\'stdev\'\),0.491670813074335466552611251245,74,2
127,,,,,,,,,,,,,,,127_0,COMPLETED,SOBOL,44.000000000000000000000000000000,5.879999999999999893418589635985,1010,15,1406,str\(\'H\'\),str\(\'tstat\'\),0.699582514256238963135103858804,7,3
128,,,,,,,,,,,,,,,128_0,COMPLETED,SOBOL,41.000000000000000000000000000000,1.580000000000000071054273576010,987,9,3154,str\(\'KL\'\),str\(\'tstat\'\),0.869276411585509722890208195167,32,2
129,,,,,,,,,,,,,,,129_0,COMPLETED,SOBOL,41.000000000000000000000000000000,6.580000000000000071054273576010,3815,18,895,str\(\'H\'\),str\(\'stdev\'\),0.064690577102825053135148891670,89,3
