trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,963,5,3891,str\(\'KL\'\),str\(\'tstat\'\),0.791727937340736431792720395606,71,1
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,43.000000000000000000000000000000,5.870000000000000106581410364015,3760,13,1475,str\(\'H\'\),str\(\'stdev\'\),0.017507043832913040531940040978,1,2
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.149999999999999911182158029987,3359,9,3328,str\(\'KL\'\),str\(\'stdev\'\),0.373337627829983809135683259228,29,3
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,46.000000000000000000000000000000,1.929999999999999937827510620991,1763,17,758,str\(\'H\'\),str\(\'tstat\'\),0.567939819734543549500926928886,99,1
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,21.000000000000000000000000000000,2.779999999999999804600747665972,2321,6,2323,str\(\'H\'\),str\(\'stdev\'\),0.456569784862920657886320441321,16,3
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,41.000000000000000000000000000000,2.520000000000000017763568394003,2640,20,4889,str\(\'KL\'\),str\(\'tstat\'\),0.726886704646050985090255380783,61,2
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,39.000000000000000000000000000000,8.230000000000000426325641456060,4618,2,541,str\(\'H\'\),str\(\'tstat\'\),0.880259084850549711198652858002,83,3
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,33.000000000000000000000000000000,0.000000000000000000000000000000,579,15,2950,str\(\'KL\'\),str\(\'stdev\'\),0.185774129083380090676769214042,38,1
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,22.000000000000000000000000000000,59.840000000000003410605131648481,56,10,118,str\(\'KL\'\),str\(\'stdev\'\),0.407934317141771307646536115499,89,3
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,33.000000000000000000000000000000,0.000000000000000000000000000000,4748,18,2709,str\(\'H\'\),str\(\'tstat\'\),0.650292385151609808602302109648,32,1
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,37.000000000000000000000000000000,4.500000000000000000000000000000,2977,2,2096,str\(\'KL\'\),str\(\'tstat\'\),0.988109805209562153116564786615,10,2
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,37.000000000000000000000000000000,7.820000000000000284217094304040,2064,11,4530,str\(\'H\'\),str\(\'stdev\'\),0.203168186269700540291793799952,67,2
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,36.000000000000000000000000000000,2.520000000000000017763568394003,1354,0,3590,str\(\'H\'\),str\(\'tstat\'\),0.836890792192891197487369936425,48,3
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,43.000000000000000000000000000000,5.059999999999999609201495331945,3527,13,1160,str\(\'KL\'\),str\(\'stdev\'\),0.096599179070442908745519616787,80,2
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,34.000000000000000000000000000000,3.450000000000000177635683940025,4375,7,4268,str\(\'H\'\),str\(\'stdev\'\),0.263111631724983474622803214515,52,2
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,903,21,1683,str\(\'KL\'\),str\(\'tstat\'\),0.553895365113392434963657251501,19,1
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,35.000000000000000000000000000000,1.879999999999999893418589635985,733,7,2568,str\(\'H\'\),str\(\'stdev\'\),0.671534768935292958325078416237,60,2
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,4147,21,310,str\(\'KL\'\),str\(\'tstat\'\),0.386690063284710061619620091733,15,3
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,3736,0,4653,str\(\'H\'\),str\(\'tstat\'\),0.224531000176444645033413394231,43,1
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,36.000000000000000000000000000000,0.000000000000000000000000000000,1542,14,1927,str\(\'KL\'\),str\(\'stdev\'\),0.966741373647004409441763073119,88,1
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,49.000000000000000000000000000000,25.579999999999998294697434175760,1917,3,991,str\(\'KL\'\),str\(\'tstat\'\),0.071305688416585327749075418069,5,1
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,32.000000000000000000000000000000,1.080000000000000071054273576010,2888,11,3713,str\(\'H\'\),str\(\'stdev\'\),0.862186331376433412465587480256,75,3
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,19.000000000000000000000000000000,1.709999999999999964472863211995,4857,10,1875,str\(\'KL\'\),str\(\'stdev\'\),0.528726107932627198415787006525,97,3
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,36.000000000000000000000000000000,1.899999999999999911182158029987,185,19,4128,str\(\'H\'\),str\(\'tstat\'\),0.288286803988739848136901855469,27,2
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,41.000000000000000000000000000000,3.160000000000000142108547152020,432,1,1296,str\(\'H\'\),str\(\'tstat\'\),0.058358173109591009175556308719,78,2
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.600000000000000088817841970013,4529,15,4043,str\(\'KL\'\),str\(\'stdev\'\),0.750863455442711713594405864569,46,3
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,33.000000000000000000000000000000,148.509999999999990905052982270718,2748,5,921,str\(\'H\'\),str\(\'stdev\'\),0.608670522606000297116679575993,24,1
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,40.000000000000000000000000000000,2.060000000000000053290705182008,2449,19,3198,str\(\'KL\'\),str\(\'tstat\'\),0.332597314342856387181512900497,56,2
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,29.000000000000000000000000000000,0.000000000000000000000000000000,1593,8,4758,str\(\'KL\'\),str\(\'stdev\'\),0.690025769153609913608704573562,36,2
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,39.000000000000000000000000000000,1.250000000000000000000000000000,3131,17,2485,str\(\'H\'\),str\(\'tstat\'\),0.493443900097161547435575812415,94,1
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,35.000000000000000000000000000000,1.399999999999999911182158029987,3970,4,3103,str\(\'KL\'\),str\(\'tstat\'\),0.148788956400006999736262969236,66,1
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,34.000000000000000000000000000000,2.379999999999999893418589635985,1153,12,362,str\(\'H\'\),str\(\'stdev\'\),0.917253570722416089466833000188,8,3
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,38.000000000000000000000000000000,7.820000000000000284217094304040,1188,9,2130,str\(\'H\'\),str\(\'stdev\'\),0.404279931653291013660123098816,73,1
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,35.000000000000000000000000000000,0.000000000000000000000000000000,4005,17,4408,str\(\'KL\'\),str\(\'tstat\'\),0.662231972733512530560062714358,4,3
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,80.000000000000000000000000000000,1.800000000000000044408920985006,3252,5,6,str\(\'H\'\),str\(\'tstat\'\),0.944981814192607960656289378676,26,1
