trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,3.000000000000000000000000000000,10.699999999999999289457264239900,2615,2511,0.192839083202183236842586211424,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1401,2209,0.737007044507190567372845180216,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.080000000000000071054273576010,148,3936,0.270985029160976387263559672647,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,3867,1096,0.783598227387294121726313278486,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.180000000000000159872115546023,4059,3817,0.049312593789771201613358897475,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,4.000000000000000000000000000000,12.220000000000000639488462184090,269,995,0.506253014173358661942359049135,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.980000000000000426325641456060,1517,2703,0.469059133121743798700009620006,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,2812,2422,0.959743618551641697322907020862,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,3143,3336,0.703815082376822775955815814086,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,5.000000000000000000000000000000,6.080000000000000071054273576010,1928,1784,0.226042384743690483173139682549,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,675,4449,0.750280654324218643225208325021,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,20.000000000000000000000000000000,44.070000000000000284217094304040,4395,359,0.304306372113525847034054550022,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,4833,3119,0.837065499987453276453663875145,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.959999999999999964472863211995,1038,2153,0.357830771179869777665061292282,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,2290,4193,0.632585679952055168762115044956,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,7.000000000000000000000000000000,15.660000000000000142108547152020,3580,767,0.188073432633653281342844820756,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.270000000000000017763568394003,2978,4806,0.431126335144042971414535259100,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,41.000000000000000000000000000000,11.410000000000000142108547152020,1759,149,0.888554181044921231880096001987,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,3.000000000000000000000000000000,8.080000000000000071054273576010,512,3731,0.102876968927681444743171823575,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,6.000000000000000000000000000000,6.099999999999999644728632119950,4226,1536,0.593074032558128183545420597511,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,4300,4853,0.972201588243246095366600911802,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,13.000000000000000000000000000000,86.090000000000003410605131648481,595,195,0.456601866101846110002071554845,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,5.000000000000000000000000000000,2.979999999999999982236431605997,1842,3465,0.551966799892485093792515726818,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,5.000000000000000000000000000000,11.779999999999999360511537815910,3052,1270,0.003597622079774737569729525788,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.530000000000000248689957516035,3497,2848,0.254448474045842865098876472985,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,2217,1882,0.800139262499287684526905195526,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.520000000000000017763568394003,965,4234,0.209443871829658734284862475761,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,6.000000000000000000000000000000,4.250000000000000000000000000000,4750,808,0.720412416735664029587837831059,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.129999999999999893418589635985,4468,3217,0.138214698052033790887094255595,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,758,1665,0.682443689554929733276367187500,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,3.000000000000000000000000000000,99.010000000000005115907697472721,2011,4642,0.341233563227578973187092969965,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,5.000000000000000000000000000000,0.800000000000000044408920985006,3216,552,0.853663901366293442762867016427,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,2729,4005,0.605531411113217510333583959437,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,5.000000000000000000000000000000,13.460000000000000852651282912120,1443,1184,0.090418872829526666934363277051,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,195,2579,0.934269041219726203983952927956,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,4.000000000000000000000000000000,4.839999999999999857891452847980,3976,2297,0.385412675831466933207281044815,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,3784,2792,0.649129983045160785515292900527,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,3.000000000000000000000000000000,4.669999999999999928945726423990,75,2490,0.171539907557889809153195415092,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1327,3905,0.820468191653490053205644016998,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
51,,,,,,,,,,,,,,,51_0,COMPLETED,SOBOL,4.000000000000000000000000000000,16.640000000000000568434188608080,2532,1065,0.374433117186650621377452807792,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.910000000000000142108547152020,3412,4518,0.119468730244785548144648146263,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,4.000000000000000000000000000000,26.300000000000000710542735760100,2127,446,0.576470184544101371670876687858,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,3.000000000000000000000000000000,4.660000000000000142108547152020,879,3404,0.414588173922151304040539798734,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,4660,1873,0.905089802982285585031263508426,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.359999999999999875655021241982,4866,4106,0.485659352524206056056499392071,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
57,,,,,,,,,,,,,,,57_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,1161,698,0.943147990681231007670248800423,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,3.000000000000000000000000000000,5.120000000000000106581410364015,2409,3030,0.032780719434842467419066736056,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
59,,,,,,,,,,,,,,,59_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.540000000000000035527136788005,3618,2085,0.522795160919427903678524671705,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.000000000000000000000000000000,2931,3664,0.766817926982417685799475748354,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
61,,,,,,,,,,,,,,,61_0,COMPLETED,SOBOL,5.000000000000000000000000000000,7.379999999999999893418589635985,1650,1447,0.287766054544597860154198087912,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
62,,,,,,,,,,,,,,,62_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,398,4737,0.687209107758477322214218929730,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
63,,,,,,,,,,,,,,,63_0,COMPLETED,SOBOL,114.000000000000000000000000000000,2.930000000000000159872115546023,4184,61,0.242635826524347064658826411687,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
64,,,,,,,,,,,,,,,64_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,4180,4291,0.748921255974099087104889349575,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
65,,,,,,,,,,,,,,,65_0,COMPLETED,SOBOL,4.000000000000000000000000000000,23.190000000000001278976924368180,460,824,0.196530028067529199953256124900,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1712,2867,0.795021341970190364989434783638,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
67,,,,,,,,,,,,,,,67_0,COMPLETED,SOBOL,4.000000000000000000000000000000,9.410000000000000142108547152020,2927,1937,0.275159486517310147846160361951,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.250000000000000000000000000000,3651,3478,0.032104680472984911676626040844,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,4.000000000000000000000000000000,9.640000000000000568434188608080,2355,1320,0.539054744411259889602661132812,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
70,,,,,,,,,,,,,,,70_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.729999999999999982236431605997,1108,4905,0.451485733853653092850777284184,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,29.000000000000000000000000000000,71.739999999999994884092302527279,4898,206,0.992910819869488481259622858488,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
72,,,,,,,,,,,,,,,72_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.810000000000000053290705182008,4636,2646,0.397837367139756703515729441278,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,921,2323,0.906249465970322520824709044973,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.989999999999999991118215802999,2169,4033,0.070197124347090716911523600174,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.030000000000000248689957516035,3388,1248,0.610160179188474982581169570039,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
76,,,,,,,,,,,,,,,76_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,2545,4665,0.866090618897229380657165620505,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
77,,,,,,,,,,,,,,,77_0,COMPLETED,SOBOL,7.000000000000000000000000000000,25.780000000000001136868377216160,1255,612,0.313211969191208472462761847055,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
78,,,,,,,,,,,,,,,78_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,2,3279,0.662219922285526951810652462882,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
79,,,,,,,,,,,,,,,79_0,COMPLETED,SOBOL,5.000000000000000000000000000000,6.849999999999999644728632119950,3797,1685,0.142845492349937569498408151958,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
80,,,,,,,,,,,,,,,80_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,3913,3384,0.877070168247446435572101108846,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
81,,,,,,,,,,,,,,,81_0,COMPLETED,SOBOL,3.000000000000000000000000000000,11.070000000000000284217094304040,198,1810,0.427012805745005608049069678600,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
82,,,,,,,,,,,,,,,82_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1446,4458,0.581098893133923377618543781864,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
83,,,,,,,,,,,,,,,83_0,COMPLETED,SOBOL,6.000000000000000000000000000000,45.229999999999996873611962655559,2666,423,0.099246922276914117944102144975,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,4.000000000000000000000000000000,1.330000000000000071054273576010,3268,3840,0.346411463664844654353203168284,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
85,,,,,,,,,,,,,,,85_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,1977,1036,0.832894849698990635822326566995,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.979999999999999982236431605997,725,2766,0.176170642370358121464590794858,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
87,,,,,,,,,,,,,,,87_0,COMPLETED,SOBOL,7.000000000000000000000000000000,1.409999999999999920063942226989,4520,2423,0.628906156290322537749659659312,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
88,,,,,,,,,,,,,,,88_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.479999999999999982236431605997,4707,4726,0.229721923276782036271725928600,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
89,,,,,,,,,,,,,,,89_0,COMPLETED,SOBOL,130.000000000000000000000000000000,3.899999999999999911182158029987,987,9,0.715717887511476913431351931649,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
90,,,,,,,,,,,,,,,90_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.729999999999999982236431605997,2239,3614,0.308477007530629621090412229023,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
91,,,,,,,,,,,,,,,91_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,3454,1434,0.761699946967884899962086819869,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.470000000000000195399252334028,3123,2976,0.509883045952767122166449098586,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
93,,,,,,,,,,,,,,,93_0,COMPLETED,SOBOL,5.000000000000000000000000000000,7.299999999999999822364316059975,1828,2067,0.061287718342617154843043891788,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
94,,,,,,,,,,,,,,,94_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,581,4090,0.963857162822037927263352230511,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
95,,,,,,,,,,,,,,,95_0,COMPLETED,SOBOL,10.000000000000000000000000000000,22.539999999999999147348717087880,4371,640,0.480543160790577517094135373554,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.740000000000000213162820728030,4288,2934,0.086727913092821837248713734425,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,7.000000000000000000000000000000,1.600000000000000088817841970013,508,2025,0.593617184774950179537711392186,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
98,,,,,,,,,,,,,,,98_0,COMPLETED,SOBOL,4.000000000000000000000000000000,9.900000000000000355271367880050,1755,4361,0.381238233346492039199659984661,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,3040,912,0.922845941508188882806962283212,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
100,,,,,,,,,,,,,,,100_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,3527,4992,0.678825078979134577394916050253,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,7.000000000000000000000000000000,54.429999999999999715782905695960,2322,275,0.126250994702801100366684750043,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1070,3567,0.849554164163768277262533956673,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
103,,,,,,,,,,,,,,,103_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.179999999999999715782905695960,4780,1388,0.329753342626616374744230597571,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,4437,3964,0.811619468228891527417090401286,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,4.000000000000000000000000000000,11.970000000000000639488462184090,651,1161,0.258558196377009164024229903589,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,1904,2578,0.732376134956255531172075734503,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
107,,,,,,,,,,,,,,,107_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.540000000000000035527136788005,3185,2234,0.213062497276812784496868857786,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,3.000000000000000000000000000000,4.740000000000000213162820728030,2739,3190,0.468024980684742353265193059997,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,1529,1618,0.976376045599579800438050369848,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.640000000000000013322676295502,282,4578,0.015511833546683190948600739034,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,15.000000000000000000000000000000,23.539999999999999147348717087880,3986,543,0.555657744757831140169912487181,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
