trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,4.000000000000000000000000000000,3.919999999999999928945726423990,4111,3553,0.324635062396526341554903183351,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,315,1337,0.870265061382204274664786680660,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.299999999999999822364316059975,1568,4940,0.154759718688204872538705103580,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,10.000000000000000000000000000000,57.479999999999996873611962655559,2858,264,0.665910882022231809251877621136,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,3701,4303,0.917729686571285174778722648625,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,5.000000000000000000000000000000,17.320000000000000284217094304040,2482,896,0.401947104342281813504911269774,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,7.000000000000000000000000000000,3.299999999999999822364316059975,1235,2916,0.622123882537707673101579075592,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,5.000000000000000000000000000000,10.859999999999999431565811391920,4949,1970,0.073815734922885900548550353051,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.920000000000000039968028886506,4586,4555,0.535436118964105811635079135158,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,6.000000000000000000000000000000,30.260000000000001563194018672220,796,483,0.020140962252393364989577762003,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,2044,3128,0.988801097538322237845420659141,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,5.000000000000000000000000000000,8.439999999999999502620084967930,3339,1597,0.440005528124049305471743309681,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
