trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.040000000000000035527136788005,4451,3,3579,str\(\'H\'\),str\(\'tstat\'\),0.114200917571783064352608505487,77,3
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,22.000000000000000000000000000000,4.830000000000000071054273576010,1794,1,980,str\(\'KL\'\),str\(\'stdev\'\),0.655567350018769534614193617017,11,2
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,18,4,3936,str\(\'H\'\),str\(\'stdev\'\),0.956593294983729691693952190690,39,1
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,34.000000000000000000000000000000,2.859999999999999875655021241982,3612,0,1497,str\(\'KL\'\),str\(\'tstat\'\),0.312652820969000433404261229953,75,1
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,2855,4,191,str\(\'KL\'\),str\(\'stdev\'\),0.844023377534002028355075708532,24,3
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,29.000000000000000000000000000000,14.140000000000000568434188608080,823,0,2752,str\(\'H\'\),str\(\'tstat\'\),0.386232561729848378195839586624,90,2
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,42.000000000000000000000000000000,1.429999999999999937827510620991,2209,2,2334,str\(\'KL\'\),str\(\'tstat\'\),0.188760820301249632180429216533,61,3
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,46.000000000000000000000000000000,1.800000000000000044408920985006,3928,2,4735,str\(\'H\'\),str\(\'stdev\'\),0.542028814492747201825295633171,28,3
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,4200,4,1917,str\(\'H\'\),str\(\'stdev\'\),0.780535914380103390541876251518,66,3
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,22.000000000000000000000000000000,0.000000000000000000000000000000,2169,0,4513,str\(\'KL\'\),str\(\'tstat\'\),0.488672099292278283577672937099,47,2
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,38.000000000000000000000000000000,7.929999999999999715782905695960,1020,3,561,str\(\'H\'\),str\(\'tstat\'\),0.187650201195850963031830360705,5,2
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,33.000000000000000000000000000000,3.169999999999999928945726423990,2739,1,3002,str\(\'KL\'\),str\(\'stdev\'\),0.582095196103677103849349805387,84,1
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,51.000000000000000000000000000000,1.189999999999999946709294817992,3261,2,4316,str\(\'KL\'\),str\(\'tstat\'\),0.011728841476142407018734559188,32,1
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,47.000000000000000000000000000000,2.930000000000000159872115546023,605,2,1757,str\(\'H\'\),str\(\'stdev\'\),0.719022750522941400674881151645,56,2
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,36.000000000000000000000000000000,1.570000000000000062172489379009,1363,3,3171,str\(\'KL\'\),str\(\'stdev\'\),0.916498062936589086291405692464,95,2
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,26.000000000000000000000000000000,3.520000000000000017763568394003,4957,0,768,str\(\'H\'\),str\(\'tstat\'\),0.313735065521672351618320817579,18,1
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,4693,4,4557,str\(\'KL\'\),str\(\'stdev\'\),0.456155942829325811160856574134,92,2
