trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,25.000000000000000000000000000000,4.660000000000000142108547152020,1412,0,2117,str\(\'H\'\),str\(\'tstat\'\),0.804790735421702319030146099976,21,3
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,47.000000000000000000000000000000,1.830000000000000071054273576010,380,2,2968,str\(\'KL\'\),str\(\'tstat\'\),0.612418500062078208223681485833,29,1
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,54.000000000000000000000000000000,12.050000000000000710542735760100,3349,2,370,str\(\'H\'\),str\(\'stdev\'\),0.149994482658803468533292857501,59,2
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,37.000000000000000000000000000000,1.729999999999999982236431605997,2534,3,1713,str\(\'H\'\),str\(\'tstat\'\),0.694775526886805883108877424092,8,2
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,18.000000000000000000000000000000,2.540000000000000035527136788005,1128,1,4115,str\(\'KL\'\),str\(\'stdev\'\),0.044252632522955540061992962819,80,3
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,1925,4,802,str\(\'H\'\),str\(\'stdev\'\),0.351383149474859213245991895747,70,1
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,26.000000000000000000000000000000,1.379999999999999893418589635985,4269,0,3362,str\(\'KL\'\),str\(\'tstat\'\),0.886167161572724570994807891111,44,3
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,51.000000000000000000000000000000,9.000000000000000000000000000000,3840,2,1180,str\(\'KL\'\),str\(\'tstat\'\),0.680294247476384006390048853063,51,2
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,46.000000000000000000000000000000,16.500000000000000000000000000000,2433,2,3623,str\(\'H\'\),str\(\'stdev\'\),0.082156837524846190734528761368,38,3
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,775,4,1307,str\(\'KL\'\),str\(\'stdev\'\),0.274525026015937312351411492273,14,3
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,20.000000000000000000000000000000,3.089999999999999857891452847980,3118,1,3902,str\(\'H\'\),str\(\'tstat\'\),0.986444522526115141758396021032,100,3
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,3544,4,2552,str\(\'H\'\),str\(\'stdev\'\),0.418284276360645912440361371409,47,2
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,26.000000000000000000000000000000,28.570000000000000284217094304040,262,0,147,str\(\'KL\'\),str\(\'tstat\'\),0.819304077481850967501486593392,66,3
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,31.000000000000000000000000000000,0.000000000000000000000000000000,1687,3,4926,str\(\'H\'\),str\(\'tstat\'\),0.512169989544898229816283219407,86,3
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,33.000000000000000000000000000000,12.560000000000000497379915032070,4655,1,2368,str\(\'KL\'\),str\(\'stdev\'\),0.226880980670452120362412529175,3,1
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,4593,4,482,str\(\'KL\'\),str\(\'stdev\'\),0.782074112936854359823257709650,80,2
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,28.000000000000000000000000000000,3.379999999999999893418589635985,1623,0,3080,str\(\'H\'\),str\(\'tstat\'\),0.448180398676544411440403337110,9,1
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,38.000000000000000000000000000000,2.790000000000000035527136788005,160,3,1995,str\(\'KL\'\),str\(\'tstat\'\),0.126935404380783434241664053843,41,1
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.699999999999999955591079014994,3441,1,4435,str\(\'H\'\),str\(\'stdev\'\),0.603856609830632828916918697360,72,3
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,45.000000000000000000000000000000,3.189999999999999946709294817992,3026,2,3250,str\(\'H\'\),str\(\'tstat\'\),0.053347973268479106923045662825,20,2
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,44.000000000000000000000000000000,2.459999999999999964472863211995,682,2,689,str\(\'KL\'\),str\(\'stdev\'\),0.716418866671621801245350980025,93,3
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,2381,4,4238,str\(\'H\'\),str\(\'stdev\'\),0.895620309071615383622599892988,57,1
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,22.000000000000000000000000000000,6.490000000000000213162820728030,3787,1,1835,str\(\'KL\'\),str\(\'tstat\'\),0.373628186298534281650773891670,32,2
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,40.000000000000000000000000000000,12.380000000000000781597009336110,4371,3,4014,str\(\'KL\'\),str\(\'tstat\'\),0.073678819898515934827543105712,64,2
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,21.000000000000000000000000000000,6.599999999999999644728632119950,2028,1,1419,str\(\'H\'\),str\(\'stdev\'\),0.657075151517987232629991467547,50,3
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,1191,4,3501,str\(\'KL\'\),str\(\'stdev\'\),0.978324192682281101873797979351,2,2
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,30.000000000000000000000000000000,2.540000000000000035527136788005,2598,0,1058,str\(\'H\'\),str\(\'tstat\'\),0.251907508125528700748674282295,87,1
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,37.000000000000000000000000000000,2.910000000000000142108547152020,3403,3,2256,str\(\'H\'\),str\(\'stdev\'\),0.841389096625149268682264391828,35,1
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,21.000000000000000000000000000000,0.000000000000000000000000000000,435,0,4813,str\(\'KL\'\),str\(\'tstat\'\),0.427821296464651834590142698289,53,3
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,56.000000000000000000000000000000,6.830000000000000071054273576010,1505,3,269,str\(\'H\'\),str\(\'tstat\'\),0.248623425049707302836310418570,99,1
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,45.000000000000000000000000000000,1.179999999999999937827510620991,4787,2,2674,str\(\'KL\'\),str\(\'stdev\'\),0.521120544599369184268766730384,15,3
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,44.000000000000000000000000000000,1.520000000000000017763568394003,4855,2,1385,str\(\'H\'\),str\(\'tstat\'\),0.630878712849691547503994115687,89,3
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,46.000000000000000000000000000000,1.080000000000000071054273576010,1261,2,3824,str\(\'KL\'\),str\(\'stdev\'\),0.108151825977489346453097596168,24,1
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,38.000000000000000000000000000000,4.089999999999999857891452847980,542,3,1102,str\(\'H\'\),str\(\'stdev\'\),0.287606377046555283794049273638,26,3
51,,,,,,,,,,,,,,,51_0,COMPLETED,SOBOL,28.000000000000000000000000000000,2.609999999999999875655021241982,3199,0,3701,str\(\'KL\'\),str\(\'tstat\'\),0.949942506350576865159496264823,63,1
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,2686,4,4848,str\(\'KL\'\),str\(\'stdev\'\),0.393355917533859622547964818295,11,3
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,30.000000000000000000000000000000,1.010000000000000008881784197001,967,0,2446,str\(\'H\'\),str\(\'tstat\'\),0.867593140134587881284744526056,78,2
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.670000000000000039968028886506,2076,3,2630,str\(\'KL\'\),str\(\'tstat\'\),0.549494626089930493506585662544,73,1
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,31.000000000000000000000000000000,65.530000000000001136868377216160,4108,1,69,str\(\'H\'\),str\(\'stdev\'\),0.212916928980499520207558816765,41,2
56,,,,,,,,,,,,,,,56_0,FAILED,SOBOL,,,3992,4,2890,str\(\'H\'\),str\(\'stdev\'\),0.482181328339502224267221208720,54,1
57,,,,,,,,,,,,,,,57_0,COMPLETED,SOBOL,22.000000000000000000000000000000,10.089999999999999857891452847980,2273,1,448,str\(\'KL\'\),str\(\'tstat\'\),0.755405597852543020387372507685,34,2
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,46.000000000000000000000000000000,0.920000000000000039968028886506,927,2,4635,str\(\'H\'\),str\(\'tstat\'\),0.575946999914944135490202370420,18,2
59,,,,,,,,,,,,,,,59_0,COMPLETED,SOBOL,44.000000000000000000000000000000,5.500000000000000000000000000000,2958,1,2039,str\(\'KL\'\),str\(\'stdev\'\),0.163106349717825643841351279661,96,1
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,46.000000000000000000000000000000,8.470000000000000639488462184090,3705,3,880,str\(\'KL\'\),str\(\'tstat\'\),0.743094986597076068157718964358,45,1
61,,,,,,,,,,,,,,,61_0,COMPLETED,SOBOL,25.000000000000000000000000000000,4.950000000000000177635683940025,111,1,3284,str\(\'H\'\),str\(\'stdev\'\),0.019354670753702521435180017306,69,2
62,,,,,,,,,,,,,,,62_0,FAILED,SOBOL,,,1848,4,1635,str\(\'KL\'\),str\(\'stdev\'\),0.337449613813310844712134439760,83,2
63,,,,,,,,,,,,,,,63_0,COMPLETED,SOBOL,34.000000000000000000000000000000,3.810000000000000053290705182008,4504,0,4194,str\(\'H\'\),str\(\'tstat\'\),0.923522314146161038550530975044,5,1
64,,,,,,,,,,,,,,,64_0,FAILED,SOBOL,,,4476,4,1787,str\(\'KL\'\),str\(\'tstat\'\),0.594277766818180674945892860705,87,1
65,,,,,,,,,,,,,,,65_0,COMPLETED,SOBOL,25.000000000000000000000000000000,0.709999999999999964472863211995,1820,1,4344,str\(\'H\'\),str\(\'stdev\'\),0.136483255481347431903316191892,1,3
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,44.000000000000000000000000000000,3.390000000000000124344978758018,119,2,739,str\(\'KL\'\),str\(\'stdev\'\),0.438479788977652773507287520260,49,2
67,,,,,,,,,,,,,,,67_0,COMPLETED,SOBOL,56.000000000000000000000000000000,7.469999999999999751310042483965,3713,2,3142,str\(\'H\'\),str\(\'tstat\'\),0.791743849694728885069139323605,64,1
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,41.000000000000000000000000000000,0.680000000000000048849813083507,2907,3,4484,str\(\'H\'\),str\(\'stdev\'\),0.363927502242848255331608697816,16,1
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,32.000000000000000000000000000000,3.850000000000000088817841970013,876,1,1887,str\(\'KL\'\),str\(\'tstat\'\),0.905290001215413253632391388237,98,2
70,,,,,,,,,,,,,,,70_0,FAILED,SOBOL,,,2342,4,3033,str\(\'H\'\),str\(\'tstat\'\),0.706840068273246302510415262077,52,2
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,26.000000000000000000000000000000,11.150000000000000355271367880050,4061,0,589,str\(\'KL\'\),str\(\'stdev\'\),0.062895898725837465215171562249,36,3
72,,,,,,,,,,,,,,,72_0,COMPLETED,SOBOL,47.000000000000000000000000000000,1.189999999999999946709294817992,4101,3,2780,str\(\'KL\'\),str\(\'stdev\'\),0.261485875254496957786898292397,72,1
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,55.000000000000000000000000000000,16.289999999999999147348717087880,2070,2,221,str\(\'H\'\),str\(\'tstat\'\),0.968775865698233262790495246009,42,2
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,41.000000000000000000000000000000,1.899999999999999911182158029987,992,3,4705,str\(\'KL\'\),str\(\'tstat\'\),0.666775285333395029141456689104,10,1
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,27.000000000000000000000000000000,1.030000000000000026645352591004,2711,0,2305,str\(\'H\'\),str\(\'stdev\'\),0.064008607257157568160010896463,79,3
76,,,,,,,,,,,,,,,76_0,FAILED,SOBOL,,,3126,4,951,str\(\'H\'\),str\(\'tstat\'\),0.530820752771571258143978866428,31,2
77,,,,,,,,,,,,,,,77_0,COMPLETED,SOBOL,27.000000000000000000000000000000,2.680000000000000159872115546023,470,0,3550,str\(\'KL\'\),str\(\'stdev\'\),0.238953257022425535893717096769,58,2
78,,,,,,,,,,,,,,,78_0,COMPLETED,SOBOL,57.000000000000000000000000000000,2.890000000000000124344978758018,1313,3,1525,str\(\'H\'\),str\(\'stdev\'\),0.437399618979543436392276589686,94,2
79,,,,,,,,,,,,,,,79_0,COMPLETED,SOBOL,18.000000000000000000000000000000,0.000000000000000000000000000000,4907,1,3966,str\(\'KL\'\),str\(\'tstat\'\),0.831840695284307041212912281480,19,3
80,,,,,,,,,,,,,,,80_0,COMPLETED,SOBOL,159.000000000000000000000000000000,27.670000000000001705302565824240,4819,3,99,str\(\'H\'\),str\(\'stdev\'\),0.944048949651420166162552050082,97,1
81,,,,,,,,,,,,,,,81_0,COMPLETED,SOBOL,22.000000000000000000000000000000,3.959999999999999964472863211995,1538,1,2502,str\(\'KL\'\),str\(\'tstat\'\),0.293529973890632400745914765139,17,3
82,,,,,,,,,,,,,,,82_0,FAILED,SOBOL,,,420,4,2417,str\(\'H\'\),str\(\'tstat\'\),0.102136383621022105994136097706,33,3
83,,,,,,,,,,,,,,,83_0,COMPLETED,SOBOL,23.000000000000000000000000000000,0.000000000000000000000000000000,3390,0,4974,str\(\'KL\'\),str\(\'stdev\'\),0.636924076380208092906798356125,55,2
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,36.000000000000000000000000000000,6.599999999999999644728632119950,2642,3,3672,str\(\'KL\'\),str\(\'tstat\'\),0.206901560980826626501283271864,6,2
85,,,,,,,,,,,,,,,85_0,COMPLETED,SOBOL,30.000000000000000000000000000000,1.949999999999999955591079014994,1236,0,1229,str\(\'H\'\),str\(\'stdev\'\),0.555540034234523805167782484205,82,2
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,47.000000000000000000000000000000,0.650000000000000022204460492503,1962,2,3854,str\(\'KL\'\),str\(\'stdev\'\),0.861699538821354527051710192609,68,3
87,,,,,,,,,,,,,,,87_0,COMPLETED,SOBOL,38.000000000000000000000000000000,1.129999999999999893418589635985,4306,2,1257,str\(\'H\'\),str\(\'tstat\'\),0.399279440021142351113780932792,45,1
88,,,,,,,,,,,,,,,88_0,FAILED,SOBOL,,,3797,4,4066,str\(\'H\'\),str\(\'tstat\'\),0.168999430533498529172220514738,62,2
89,,,,,,,,,,,,,,,89_0,COMPLETED,SOBOL,29.000000000000000000000000000000,3.259999999999999786837179271970,2391,0,1665,str\(\'KL\'\),str\(\'stdev\'\),0.570022927187383121605535052367,27,1
90,,,,,,,,,,,,,,,90_0,COMPLETED,SOBOL,39.000000000000000000000000000000,1.459999999999999964472863211995,652,3,3410,str\(\'H\'\),str\(\'stdev\'\),0.761420564325526405546895603038,25,3
91,,,,,,,,,,,,,,,91_0,COMPLETED,SOBOL,38.000000000000000000000000000000,4.900000000000000355271367880050,2995,1,851,str\(\'KL\'\),str\(\'tstat\'\),0.476135488925501726420463910472,88,2
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,48.000000000000000000000000000000,1.850000000000000088817841970013,3508,2,2165,str\(\'KL\'\),str\(\'stdev\'\),0.929537206262350035324004693393,40,3
93,,,,,,,,,,,,,,,93_0,COMPLETED,SOBOL,28.000000000000000000000000000000,1.080000000000000071054273576010,226,1,4606,str\(\'H\'\),str\(\'tstat\'\),0.331403729785233747140438254064,73,1
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,1576,4,321,str\(\'KL\'\),str\(\'tstat\'\),0.025247796183452009960435091784,78,1
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,4544,1,2920,str\(\'H\'\),str\(\'stdev\'\),0.737170988226309442659101023310,10,2
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,50.000000000000000000000000000000,2.149999999999999911182158029987,4647,2,4784,str\(\'H\'\),str\(\'stdev\'\),0.303074438968673365302208821959,85,2
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,47.000000000000000000000000000000,1.629999999999999893418589635985,1678,2,2226,str\(\'KL\'\),str\(\'tstat\'\),0.966141636839136452863385784440,4,2
98,,,,,,,,,,,,,,,98_0,FAILED,SOBOL,,,291,4,2702,str\(\'H\'\),str\(\'tstat\'\),0.645867201332002927038899997569,46,3
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,47.000000000000000000000000000000,17.359999999999999431565811391920,3572,0,299,str\(\'KL\'\),str\(\'stdev\'\),0.123871145084500311472908151700,67,1
100,,,,,,,,,,,,,,,100_0,FAILED,SOBOL,,,3050,4,1447,str\(\'KL\'\),str\(\'tstat\'\),0.532328621191903939013911895017,19,3
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,27.000000000000000000000000000000,1.040000000000000035527136788005,706,0,4044,str\(\'H\'\),str\(\'stdev\'\),0.198430973457172504792467293555,94,3
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,44.000000000000000000000000000000,4.299999999999999822364316059975,2485,3,1029,str\(\'KL\'\),str\(\'stdev\'\),0.376654254086315642968685324377,56,3
103,,,,,,,,,,,,,,,103_0,COMPLETED,SOBOL,21.000000000000000000000000000000,9.000000000000000000000000000000,3891,1,3472,str\(\'H\'\),str\(\'tstat\'\),0.853571764003485444760599420988,33,2
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,38.000000000000000000000000000000,8.750000000000000000000000000000,4243,3,660,str\(\'H\'\),str\(\'tstat\'\),0.591674053987488179906506502448,74,3
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,31.000000000000000000000000000000,2.509999999999999786837179271970,1900,0,3220,str\(\'KL\'\),str\(\'stdev\'\),0.178102335223928098795198593507,39,1
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,43.000000000000000000000000000000,3.509999999999999786837179271970,1134,3,1865,str\(\'H\'\),str\(\'stdev\'\),0.498372723862528788085768383098,13,1
107,,,,,,,,,,,,,,,107_0,COMPLETED,SOBOL,57.000000000000000000000000000000,0.550000000000000044408920985006,2541,2,4266,str\(\'KL\'\),str\(\'tstat\'\),0.770866162750869943209863777156,76,2
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,44.000000000000000000000000000000,12.380000000000000781597009336110,3297,3,3111,str\(\'KL\'\),str\(\'stdev\'\),0.323435734705999511362506382284,27,3
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,31.000000000000000000000000000000,15.089999999999999857891452847980,329,1,511,str\(\'H\'\),str\(\'tstat\'\),0.906828385664150138367745057622,61,1
110,,,,,,,,,,,,,,,110_0,FAILED,SOBOL,,,1485,4,4405,str\(\'KL\'\),str\(\'tstat\'\),0.728601534049957977323686009186,90,3
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,27.000000000000000000000000000000,2.040000000000000035527136788005,4766,0,1965,str\(\'H\'\),str\(\'stdev\'\),0.002180930890142917903673502877,23,2
112,,,,,,,,,,,,,,,112_0,FAILED,SOBOL,,,4971,4,3332,str\(\'KL\'\),str\(\'tstat\'\),0.144101416714489449777403251574,100,1
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,28.000000000000000000000000000000,5.190000000000000390798504668055,1377,0,929,str\(\'H\'\),str\(\'stdev\'\),0.618342557918280411044520405994,13,3
114,,,,,,,,,,,,,,,114_0,COMPLETED,SOBOL,35.000000000000000000000000000000,0.790000000000000035527136788005,573,3,4144,str\(\'KL\'\),str\(\'stdev\'\),0.798775783820077744934451402514,37,2
115,,,,,,,,,,,,,,,115_0,COMPLETED,SOBOL,21.000000000000000000000000000000,3.390000000000000124344978758018,3229,1,1587,str\(\'H\'\),str\(\'tstat\'\),0.462201767371967442432634243232,51,3
116,,,,,,,,,,,,,,,116_0,COMPLETED,SOBOL,70.000000000000000000000000000000,45.649999999999998578914528479800,2804,2,399,str\(\'H\'\),str\(\'stdev\'\),0.880152254585176652135203312355,3,1
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,44.000000000000000000000000000000,1.149999999999999911182158029987,1086,2,2842,str\(\'KL\'\),str\(\'tstat\'\),0.357429048374295232903818941850,85,3
118,,,,,,,,,,,,,,,118_0,FAILED,SOBOL,,,2124,4,2087,str\(\'H\'\),str\(\'tstat\'\),0.038359492221847174553417403331,65,2
119,,,,,,,,,,,,,,,119_0,COMPLETED,SOBOL,29.000000000000000000000000000000,3.189999999999999946709294817992,4156,0,4684,str\(\'KL\'\),str\(\'stdev\'\),0.700699540128931430693626225548,48,1
120,,,,,,,,,,,,,,,120_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.989999999999999991118215802999,3959,3,2495,str\(\'KL\'\),str\(\'stdev\'\),0.992338064353913029691511837882,59,2
121,,,,,,,,,,,,,,,121_0,COMPLETED,SOBOL,17.000000000000000000000000000000,0.000000000000000000000000000000,2240,1,4896,str\(\'H\'\),str\(\'tstat\'\),0.268601444043219117485676861179,30,2
122,,,,,,,,,,,,,,,122_0,FAILED,SOBOL,,,813,4,21,str\(\'KL\'\),str\(\'tstat\'\),0.088172265009954578496298438495,22,1
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,38.000000000000000000000000000000,3.959999999999999964472863211995,2844,0,2580,str\(\'H\'\),str\(\'stdev\'\),0.674248898817226272051073010516,92,3
124,,,,,,,,,,,,,,,124_0,FAILED,SOBOL,,,3660,4,3776,str\(\'H\'\),str\(\'tstat\'\),0.232896363541483880643667703225,43,2
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,25.000000000000000000000000000000,6.490000000000000213162820728030,66,1,1335,str\(\'KL\'\),str\(\'stdev\'\),0.506124566528946107091257999855,71,2
126,,,,,,,,,,,,,,,126_0,COMPLETED,SOBOL,57.000000000000000000000000000000,2.390000000000000124344978758018,1728,2,3750,str\(\'H\'\),str\(\'stdev\'\),0.825197693666443243820651787246,81,1
127,,,,,,,,,,,,,,,127_0,COMPLETED,SOBOL,19.000000000000000000000000000000,2.810000000000000053290705182008,4384,1,1151,str\(\'KL\'\),str\(\'tstat\'\),0.412360739002004261788414396506,7,3
128,,,,,,,,,,,,,,,128_0,FAILED,SOBOL,,,4396,4,3844,str\(\'H\'\),str\(\'tstat\'\),0.032211358306929470385338021288,47,2
129,,,,,,,,,,,,,,,129_0,COMPLETED,SOBOL,27.000000000000000000000000000000,3.229999999999999982236431605997,1740,0,1287,str\(\'KL\'\),str\(\'stdev\'\),0.698572506399825265965830567438,67,3
130,,,,,,,,,,,,,,,130_0,COMPLETED,SOBOL,50.000000000000000000000000000000,1.919999999999999928945726423990,44,3,3642,str\(\'H\'\),str\(\'stdev\'\),0.874604566656053017403849025868,84,1
131,,,,,,,,,,,,,,,131_0,COMPLETED,SOBOL,23.000000000000000000000000000000,3.520000000000000017763568394003,3638,1,1239,str\(\'KL\'\),str\(\'tstat\'\),0.355657142695039507618304241987,5,3
132,,,,,,,,,,,,,,,132_0,COMPLETED,SOBOL,40.000000000000000000000000000000,1.800000000000000044408920985006,2832,3,2387,str\(\'KL\'\),str\(\'stdev\'\),0.801018341982737136497405572300,56,2
133,,,,,,,,,,,,,,,133_0,COMPLETED,SOBOL,45.000000000000000000000000000000,0.859999999999999986677323704498,801,2,4985,str\(\'H\'\),str\(\'tstat\'\),0.468222003882750870129569875644,32,3
134,,,,,,,,,,,,,,,134_0,COMPLETED,SOBOL,37.000000000000000000000000000000,34.020000000000003126388037344441,2262,3,89,str\(\'KL\'\),str\(\'tstat\'\),0.145756853628903615405221216861,18,1
