trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,threshold,window_size
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,4299,4,0.443040048420429211084581311297,3125
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,210,11,0.633132208896800885433719940920,1884
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,37.000000000000000000000000000000,0.000000000000000000000000000000,2225,8,0.176034542482346290093175866787,4408
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,38.000000000000000000000000000000,0.000000000000000000000000000000,3268,17,0.997598399521782974730399473628,590
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.000000000000000000000000000000,2876,6,0.555173677379265373410532902199,936
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,1359,19,0.365060566876083625320603687214,4072
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,38.000000000000000000000000000000,0.000000000000000000000000000000,1227,0,0.826045004209503552772275725147,1597
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,4539,15,0.004524928450584411038226662072,3402
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,4855,9,0.777100215012207606868344100803,3902
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,904,16,0.080211168382316830327560808200,1101
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,1668,3,0.603582026919350034255273840245,3626
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,42.000000000000000000000000000000,0.000000000000000000000000000000,2574,12,0.288815044879913329634035790150,1368
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,90.000000000000000000000000000000,0.000000000000000000000000000000,3589,2,0.220544224016368389795772486650,2341
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,1896,14,0.917454209519550256679565336526,2663
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,9711.000000000000000000000000000000,0.059999999999999997779553950750,514,5,0.397992964308708896403743437986,186
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,4002,21,0.712716165067628026896784376731,4806
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,4555.000000000000000000000000000000,0.040000000000000000832667268469,3825,6,0.109864532494917510607734811856,1832
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,418,21,0.783263894144445638190177305660,3172
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,560.000000000000000000000000000000,0.040000000000000000832667268469,2153,2,0.275494226863607749589135664792,696
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,3606,14,0.582548013180494317353463884501,4298
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,43.000000000000000000000000000000,0.000000000000000000000000000000,2752,3,0.892407516501843911527203090372,4645
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,1764,13,0.219032900793477897094518880294,357
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.000000000000000000000000000000,647,10,0.722907692264765477929699954984,2882
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,4839,17,0.415821545870974640379813536128,2112
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,4518,1,0.677792809627950187945089055574,117
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,41.000000000000000000000000000000,0.000000000000000000000000000000,975,16,0.495596572978422023059152934366,4891
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,36.000000000000000000000000000000,0.000000000000000000000000000000,1460,8,0.937092557381838608954183200694,2416
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,4837.000000000000000000000000000000,0.040000000000000000832667268469,3049,20,0.138835646064952022982197377132,2583
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,3289,9,0.324077474737539894533711049007,3553
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,2477,19,0.506248965445905918514313270862,1455
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,967.000000000000000000000000000000,0.059999999999999997779553950750,110,5,0.060850491097196937606561562006,3979
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,4126,12,0.859139762490987779486317776900,1019
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,37.000000000000000000000000000000,0.000000000000000000000000000000,4159,8,0.623963530045002712220991725189,2040
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,45,18,0.299377184929326189966047877533,2967
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,37.000000000000000000000000000000,0.000000000000000000000000000000,2366,4,0.758420008353889008034798280278,434
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,12023.000000000000000000000000000000,0.040000000000000000832667268469,3432,11,0.067459534896537665105142878019,4565
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,3043,0,0.377333783170208325596917120492,4227
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,38.000000000000000000000000000000,0.000000000000000000000000000000,1513,15,0.701944874227046988757194867503,782
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,1059,7,0.239007189864292729497563527730,3247
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,4387,19,0.929935303244739719374933883955,1751
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,4696,3,0.163693328758701683867116116744,944
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,757,12,0.979482798874378168818566336995,4060
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,39.000000000000000000000000000000,0.000000000000000000000000000000,1829,9,0.454166307443752859107632957603,1526
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,2719,16,0.653923655901104239340781987266,3467
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,3736,5,0.839151676516979971864884646493,2507
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,1542.000000000000000000000000000000,0.750000000000000000000000000000,2069,20,0.023337460460141300905290151491,2496
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,43.000000000000000000000000000000,0.000000000000000000000000000000,366,1,0.544751476816833002381201822573,4963
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,3830,14,0.345026488436386002955913454571,32
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,41.000000000000000000000000000000,0.000000000000000000000000000000,3969,2,0.957139051547273966846773873840,3326
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,438.000000000000000000000000000000,0.000000000000000000000000000000,579,14,0.149245482951402663740481102650,1677
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.000000000000000000000000000000,2008,6,0.658960340702906210985645429901,4143
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,3446,21,0.482509904507547604524120288261,851
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,8426.000000000000000000000000000000,0.800000000000000044408920985006,2581,10,0.040099927317351104216758272969,515
