trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,4015,710,0.953100978493690464965482078696,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,6.000000000000000000000000000000,6.620000000000000106581410364015,1503,2814,0.367650352679192993221590768371,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,10.000000000000000000000000000000,1.489999999999999991118215802999,272,1568,0.636787627944722767203700186656,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,144.000000000000000000000000000000,7.070000000000000284217094304040,2745,4455,0.036625098615884782438101296975,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,190.000000000000000000000000000000,7.309999999999999609201495331945,3603,1960,0.405279092712327815295481059366,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,350.000000000000000000000000000000,0.000000000000000000000000000000,1115,4064,0.802234755005687527606994535745,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,241.000000000000000000000000000000,76.390000000000000568434188608080,2346,319,0.190507890811190017110732242145,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,8.000000000000000000000000000000,1.409999999999999920063942226989,4873,3206,0.603939092893153395280592121708,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,8.000000000000000000000000000000,15.289999999999999147348717087880,4550,1470,0.173975229203701009517146758299,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,5.000000000000000000000000000000,1.050000000000000044408920985006,2062,4989,0.525032414654269863341085056163,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
