trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,1319,1143,0.199120391994714734940075118175,0.758416628837585427014289507497,str\(\'intersection\'\),0.052862692475318918960969227783,True
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,18.000000000000000000000000000000,0.000000000000000000000000000000,4177,4668,0.561592391021549675045321237121,0.433542030313983584033366014410,str\(\'kl\'\),0.083047041175886987529608518344,False
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.000000000000000000000000000000,3612,1693,0.252040553808212275388456191649,0.698197625467553706357648479752,str\(\'kl\'\),0.057296605007722982427775804126,True
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,913,2543,0.989188732519745816951228789549,0.119620266603305935859680175781,str\(\'intersection\'\),0.027101272493600850332917673313,False
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,258,2365,0.669458696564659505590100252448,0.166314956000074731790050464042,str\(\'intersection\'\),0.038413873575627810463828382126,True
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.000000000000000000000000000000,3037,3390,0.088371539359912279487652142507,0.526766361190006082715342472511,str\(\'kl\'\),0.091209282660856844104912966031,False
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,15.000000000000000000000000000000,0.000000000000000000000000000000,4811,429,0.849896511210128657864970591618,0.355656045002862797321796506367,str\(\'kl\'\),0.071767405113205312572333127719,True
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,1877,3778,0.394229606149718192487085843823,0.961039199253544196288601142442,str\(\'intersection\'\),0.019004951659590006707301057531,False
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,23.000000000000000000000000000000,0.000000000000000000000000000000,2296,1425,0.770233663409948365874413411802,0.574733759138733146798472262162,str\(\'kl\'\),0.024538264786824585256264086297,True
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,4451,3056,0.470016730591654774418230999800,0.248824356626719228602340194811,str\(\'intersection\'\),0.066061701048165569205572467126,False
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,2791,709,0.717926413498818916103516585281,0.888702270966023166742786543182,str\(\'intersection\'\),0.085313424058258535698229252375,True
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,483,4703,0.043764313794672486668257960218,0.309211461190134262455586622309,str\(\'kl\'\),0.043778998116031295206873608095,False
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,24.000000000000000000000000000000,0.000000000000000000000000000000,1156,228,0.363378206295892569599459420715,0.480597051806747888047510741671,str\(\'kl\'\),0.010136642875149846215743210109,True
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,3388,4358,0.881726803390309177288486353063,0.842083734080195434046345326351,str\(\'intersection\'\),0.074092963561415675632915167625,False
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,3756,2018,0.181352874090895066494510956545,0.046247470095753667740368086925,str\(\'intersection\'\),0.099649119954556233946796339751,True
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,19.000000000000000000000000000000,0.000000000000000000000000000000,1682,3512,0.575499421274289435501714251586,0.652543614245951197894157758128,str\(\'kl\'\),0.035725760264322156678495900906,False
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,1751,2095,0.461969196049496544365098316121,0.322345916913822305716053051583,str\(\'intersection\'\),0.076559272771701214477246821843,False
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,45.000000000000000000000000000000,0.000000000000000000000000000000,4059,3745,0.792870843095704880276741732814,0.994485299894586227686943402659,str\(\'kl\'\),0.014040789622813463696782143586,True
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.000000000000000000000000000000,3183,156,0.018691296612843872476661388760,0.137254355886951090459646707131,str\(\'kl\'\),0.033270440734922891723446269907,False
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,7.000000000000000000000000000000,0.000000000000000000000000000000,1029,4130,0.724513255288824487010401753651,0.555690966444089995412980442779,str\(\'intersection\'\),0.095821884879842403326399846719,True
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,453,789,0.935093673869967445533291083848,0.727139373680576683867116116744,str\(\'intersection\'\),0.062178252907469873378420999188,False
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,2528,4938,0.322710753172636033436759817050,0.090569195313379174949730554545,str\(\'kl\'\),0.022051450088620187794941074344,True
