trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,max_window_size,min_window_size,min_p_value
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,202.000000000000000000000000000000,1.260000000000000008881784197001,3247,3405,3382,0.892040008169412645955276275345
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,3.000000000000000000000000000000,18.280000000000001136868377216160,262,2128,1507,0.455378701034188260177160145759
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,4.000000000000000000000000000000,23.260000000000001563194018672220,2035,4647,4158,0.588573560340236889842913114990
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.739999999999999991118215802999,3818,923,1033,0.027049869492277504173793900577
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,3.000000000000000000000000000000,8.220000000000000639488462184090,4463,3847,1941,0.216231948849093164044532500156
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1546,124,2566,0.653136589412018686573446757393
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,2.000000000000000000000000000000,6.330000000000000071054273576010,829,2642,521,0.269855154856946333197242893220
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,1.000000000000000000000000000000,7.620000000000000106581410364015,2524,1366,4896,0.831622414498031092833230104588
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,1.000000000000000000000000000000,3.270000000000000017763568394003,2907,4692,300,0.721807067021075665635976292833
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,1.000000000000000000000000000000,9.900000000000000355271367880050,1241,988,4675,0.159309201472811384769912024240
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,4.000000000000000000000000000000,18.730000000000000426325641456060,1773,3506,2318,0.791034289912600052652180693258
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.880000000000000004440892098501,4720,2210,2943,0.353399043442495175426643072569
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.149999999999999911182158029987,4191,3019,3773,0.417721953266579626440346828531
